naeringskode,naeringsbeskrivelse
43.222,Kuldeanlegg- og varmepumpearbeid
55.300,Drift av campingplasser
81.300,Beplantning av hager og parkanlegg
66.220,Forsikringsformidling
46.770,Engroshandel med avfall og skrap
47.750,Butikkhandel med kosmetikk og toalettartikler
84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked
64.190,Bankvirksomhet ellers
47.510,Butikkhandel med tekstiler og utstyrsvarer
85.410,Undervisning ved fagskoler
50.102,Innenlandske kystruter med passasjerer
33.140,Reparasjon av elektrisk utstyr
11.050,Produksjon av øl
46.650,Engroshandel med kontormøbler
47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
35.130,Distribusjon av elektrisitet
35.111,Produksjon av elektrisitet fra vannkraft
35.140,Handel med elektrisitet
46.422,Engroshandel med skotøy
82.110,Kombinerte kontortjenester
47.190,Butikkhandel med bredt vareutvalg ellers
47.523,Butikkhandel med fargevarer
86.909,Andre helsetjenester
86.221,"Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste"
46.349,Engroshandel med drikkevarer ellers
77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr
84.300,Trygdeordninger underlagt offentlig forvaltning
74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted"
90.034,Selvstendig kunstnerisk virksomhet innen litteratur
87.909,Omsorgsinstitusjoner ellers
14.130,Produksjon av annet yttertøy
20.410,"Produksjon av såpe og vaskemidler, rense- og polermidler"
91.022,Drift av kulturhistoriske museer
23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet
35.112,Produksjon av elektrisitet fra vindkraft
52.291,Spedisjon
38.210,Behandling og disponering av ikke-farlig avfall
64.306,Egeninvesteringsselskaper i finansielle konsern og for off forvaltning
94.120,Yrkessammenslutninger
50.201,Utenriks sjøfart med gods
59.140,Filmframvisning
56.309,Drift av barer ellers
28.130,Produksjon av pumper og kompressorer ellers
86.904,Annen forebyggende helsetjeneste
95.290,Reparasjon av andre husholdningsvarer og varer til personlig bruk
96.010,Vaskeri- og renserivirksomhet
46.900,Uspesifisert engroshandel
62.090,Andre tjenester tilknyttet informasjonsteknologi
02.100,Skogskjøtsel og andre skogbruksaktiviteter
84.250,Brannvern
81.101,Vaktmestertjenester
84.110,Generell offentlig administrasjon
43.919,Takarbeid ellers
52.214,Drift av taxisentraler og annen formidling av persontransport
26.510,"Produksjon av måle-, kontroll- og navigasjonsinstrumenter"
93.210,Drift av fornøyelses- og temaparker
49.391,Rutebiltransport utenfor by- og forstadsområde
47.721,Butikkhandel med skotøy
46.460,Engroshandel med sykepleie- og apotekvarer
85.522,Undervisning i kunstfag
13.100,Bearbeiding og spinning av tekstilfibrer
88.994,Varig tilrettelagt arbeid
58.130,Utgivelse av aviser
59.110,"Produksjon av film, video og fjernsynsprogrammer"
52.292,Skipsmegling
42.210,Bygging av vann- og kloakkanlegg
68.320,Eiendomsforvaltning
13.929,"Produksjon av andre tekstilvarer, unntatt klær"
90.011,Utøvende kunstnere og underholdningsvirksomhet innen musikk
47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer"
88.102,Dagsentra/aktivitetssentra for eldre og funksjonshemmede
01.500,Kombinert husdyrhold og planteproduksjon
47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler"
81.299,Annen rengjøringsvirksomhet ikke nevnt annet sted
46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted
43.290,Annet installasjonsarbeid
71.111,Plan- og reguleringsarbeid
74.903,Impresariovirksomhet
87.301,Aldershjem
47.782,Butikkhandel med optiske artikler
52.212,Drift av parkeringsplasser og parkeringshus
85.591,Folkehøgskoleundervisning
68.100,Kjøp og salg av egen fast eiendom
87.303,Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell deler av døgnet
01.190,Dyrking av ettårige vekster ellers
46.720,Engroshandel med metaller og metallholdig malm
79.120,Reisearrangørvirksomhet
47.529,Butikkhandel med byggevarer ikke nevnt annet sted
50.204,Forsyning og andre sjøtransporttjenester for offshore
23.700,Hogging og bearbeiding av monument- og bygningsstein
47.540,Butikkhandel med elektriske husholdningsapparater
46.450,Engroshandel med parfyme og kosmetikk
47.420,Butikkhandel med telekommunikasjonsutstyr
28.930,Produksjon av maskiner og utstyr til nærings- og nytelsesmiddelindustri
45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler"
01.451,Sauehold
47.642,Butikkhandel med fritidsbåter og -utstyr
85.421,Undervisning ved universiteter
66.300,Fondsforvaltningsvirksomhet
43.390,Annen ferdiggjøring av bygninger
42.110,Bygging av veier og motorveier
47.299,Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted
33.120,Reparasjon av maskiner
31.090,Produksjon av møbler ellers
30.113,Bygging av oljeplattformer og moduler
33.110,Reparasjon av bearbeidede metallprodukter
38.110,Innsamling av ikke-farlig avfall
79.110,Reisebyråvirksomhet
47.781,Butikkhandel med fotoutstyr
46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk
28.300,Produksjon av jordbruks- og skogbruksmaskiner
61.100,Kabelbasert telekommunikasjon
10.620,Produksjon av stivelse og stivelsesprodukter
47.771,Butikkhandel med ur og klokker
01.290,Dyrking av flerårige vekster ellers
52.100,Lagring
42.910,Bygging av havne- og damanlegg
01.471,Hold av verpehøner for konsumeggproduksjon
16.231,Produksjon av monteringsferdige hus
80.100,Private vakttjenester
52.211,Drift av gods- og transportsentraler
28.120,Produksjon av komponenter til hydraulisk og pneumatisk utstyr
47.792,Butikkhandel med brukte klær
86.101,Alminnelige somatiske sykehus
01.610,Tjenester tilknyttet planteproduksjon
47.917,Postordre-/Internetthandel med helsekost
66.120,Verdipapirmegling
94.992,Fond/legater som støtter veldedige og allmennyttige formål
46.431,Engroshandel med elektriske husholdningsapparater og -maskiner
35.220,Distribusjon av gass gjennom ledningsnett
16.100,"Saging, høvling og impregnering av tre"
10.860,Produksjon av homogeniserte matprodukter og diettmat
42.220,Bygging av anlegg for elektrisitet og telekommunikasjon
25.610,Overflatebehandling av metaller
28.140,Produksjon av kraner og ventiler ellers
86.906,Medisinske laboratorietjenester
46.495,Engroshandel med spill og leker
79.901,Turistkontorvirksomhet og destinasjonsselskaper
86.106,Rusmiddelinstitusjoner
52.219,Tjenester tilknyttet landtransport ellers
23.110,Produksjon av planglass
86.907,Ambulansetjenester
52.240,Lasting og lossing
46.660,Engroshandel med maskiner og utstyr til kontor ellers
55.102,"Drift av hoteller, pensjonater og moteller uten restaurant"
25.110,Produksjon av metallkonstruksjoner og deler
39.000,"Miljørydding, miljørensing og lignende virksomhet"
45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler"
90.040,Drift av lokaler tilknyttet kunstnerisk virksomhet
38.120,Innsamling av farlig avfall
88.997,Sosialtjenester for rusmiddelmisbrukere uten botilbud
84.240,Politi- og påtalemyndighet
46.620,Engroshandel med maskinverktøy
23.990,Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted
59.120,"Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer"
96.040,Virksomhet knyttet til kroppspleie og fysisk velvære
47.210,Butikkhandel med frukt og grønnsaker
82.202,Telefonsalg
87.304,Avlastningsboliger/-institusjoner
,
46.710,Engroshandel med drivstoff og brensel
77.110,Utleie og leasing av biler og andre lette motorvogner
47.230,"Butikkhandel med fisk, skalldyr og bløtdyr"
47.220,Butikkhandel med kjøtt og kjøttvarer
95.110,Reparasjon av datamaskiner og tilleggsutstyr
27.320,Produksjon av andre elektroniske og elektriske ledninger og kabler
37.000,Oppsamling og behandling av avløpsvann
18.130,Ferdiggjøring før trykking og publisering
73.120,Medieformidlingstjenester
47.592,Butikkhandel med belysningsutstyr
25.720,Produksjon av låser og beslag
47.532,Butikkhandel med tepper
72.110,Forskning og utviklingsarbeid innen bioteknologi
55.201,Drift av vandrerhjem
23.120,Bearbeiding av planglass
91.021,Drift av kunst- og kunstindustrimuseer
46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon
55.202,Drift av ferieleiligheter
55.900,Annen overnatting
22.110,"Produksjon av gummidekk og slanger til gummidekk, og regummiering og vulkanisering av gummidekk"
24.200,Produksjon av andre rør og rørdeler av stål
19.200,Produksjon av raffinerte petroleumsprodukter
45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler"
28.490,Produksjon av maskinverktøy ikke nevnt annet sted
27.510,Produksjon av elektriske husholdningsmaskiner og -apparater
88.914,Fritidsklubber for barn og ungdom
