organisasjonsnummer,navn,organisasjonsform,registreringsdatoEnhetsregisteret,antallAnsatte,forretningsadresse,stiftelsesdato,vedtektsdato,vedtektsfestetFormaal,aktivitet,links,sisteInnsendteAarsregnskap,kommune,overordnetEnhet
915965091,ADVOKATFIRMAET TORSTRUP AS,Aksjeselskap,2015-09-23,12,"Niels Juels gate 50, 4008 STAVANGER",2015-09-02,2018-12-12,NaN,NaN,[],2022,STAVANGER,nan
927408236,AFTENSKOLEN,Stiftelse,2021-07-29,16,"Tastatunet 1, 4027 STAVANGER",2021-06-10,2021-06-10,NaN,NaN,[],2022,STAVANGER,nan
926048309,AGRO TRANSPORT AS,Aksjeselskap,2020-11-27,29,"Gamle Forusveien 50, 4031 STAVANGER",2020-11-02,2021-06-11,NaN,NaN,[],2022,STAVANGER,nan
885556922,AIR FORUS AS,Aksjeselskap,2003-04-07,44,"Lagerveien 2, 4033 STAVANGER",2003-03-20,2023-01-23,NaN,NaN,[],2022,STAVANGER,nan
979918984,AIRSWIFT NORGE AS,Aksjeselskap,1998-07-08,50,"Forusparken 2, 4031 STAVANGER",1998-06-02,2021-11-02,NaN,NaN,[],2022,STAVANGER,nan
887504822,AKADEMIET SANDNES AS,Aksjeselskap,2004-11-26,31,"Langgata 1, 4306 SANDNES",2004-11-12,2017-11-10,NaN,NaN,[],2022,SANDNES,nan
969044854,AKTIVE FORELDRE SA,Samvirkeforetak,1995-02-20,44,"Gamle Somavei 26, 4313 SANDNES",1987-09-12,2012-04-26,NaN,NaN,[],2022,SANDNES,nan
828413902,ALCORI AS,Aksjeselskap,2021-12-20,50,"Jærveien 18, 4319 SANDNES",2021-12-01,2022-06-30,NaN,NaN,[],2022,SANDNES,nan
946295566,Alf I. Larsen A/S,Aksjeselskap,1995-02-19,45,"Vestre Svanholmen 17, 4313 SANDNES",1988-01-11,2013-04-30,NaN,NaN,[],2022,SANDNES,nan
925769371,ALFA DEKK AS,Aksjeselskap,2020-10-09,22,"Fosseikeveien 12, 4323 SANDNES",2020-09-12,2020-12-01,NaN,NaN,[],2022,SANDNES,nan
914750210,ALL10 AS,Aksjeselskap,2015-01-06,203,"Auglendsmyrå 8, 4016 STAVANGER",2014-12-12,2022-06-23,NaN,NaN,[],2022,STAVANGER,nan
980126684,ALLRENT AS,Aksjeselskap,1998-09-23,41,"Stokkaveien 37, 4024 STAVANGER",1998-09-01,2015-12-18,NaN,NaN,[],2022,STAVANGER,nan
918260315,ALLSERVICE AS,Aksjeselskap,1995-02-19,39,"Auglendsdalen 77, 4017 STAVANGER",1972-06-13,2021-06-22,NaN,NaN,[],2022,STAVANGER,nan
888846832,ALLTON CARBON AND MINERALS AS,Aksjeselskap,2005-11-08,16,"Koppholen 20, 4313 SANDNES",2005-10-19,2022-10-13,NaN,NaN,[],2022,SANDNES,nan
885396062,ALPHA BEGRAVELSESBYRÅ AS,Aksjeselskap,2003-02-15,13,"Madlakrossen 2, 4042 HAFRSFJORD",2003-01-10,2020-02-20,NaN,NaN,[],2022,STAVANGER,nan
811593362,ALTERA INFRASTRUCTURE CREWING AS,Aksjeselskap,2013-02-20,48,"Badehusgata 37, 4014 STAVANGER",2013-02-03,2021-12-17,NaN,NaN,[],2022,STAVANGER,nan
964111723,ALTERA INFRASTRUCTURE NORWAY AS,Aksjeselskap,1995-02-20,140,"Badehusgata 37, 4014 STAVANGER",1992-05-15,2020-05-20,NaN,NaN,[],2022,STAVANGER,nan
944271430,AMAZOON AS,Aksjeselskap,1995-02-19,21,"Steinkobbeveien 28A, 4083 HUNDVÅG",1987-07-01,2001-11-28,NaN,NaN,[],2022,STAVANGER,nan
890592392,AMED NUDEM,Enkeltpersonforetak,2006-12-08,12,"Boganesgeilen 13A, 4032 STAVANGER",,,NaN,NaN,[],,STAVANGER,nan
929796004,AMEDIA SALG ROGALAND AS,Aksjeselskap,2022-09-08,19,"Langgata 10, 4306 SANDNES",2022-08-01,2022-10-20,NaN,NaN,[],,SANDNES,nan
928228096,AMINA DISTRIBUTION AS,Aksjeselskap,2021-11-27,41,"FOMO Works, Grenseveien 21, 4313 SANDNES",2021-11-16,2022-09-29,NaN,NaN,[],2022,SANDNES,nan
930108219,AMKA RESTAURANTS AS,Aksjeselskap,2022-10-27,900,"Auglendsmyrå 7, 4016 STAVANGER",2022-09-19,2022-12-23,NaN,NaN,[],2022,STAVANGER,nan
915345662,AMUNDSEN SPESIAL KVADRAT AS,Aksjeselskap,2015-05-06,12,"Gamle Stokkavei 1, 4313 SANDNES",2015-04-28,2015-04-28,NaN,NaN,[],2022,SANDNES,nan
926838148,AN NAM AS,Aksjeselskap,2021-03-22,15,"Pedersgata 31, 4013 STAVANGER",2021-03-09,2021-03-09,NaN,NaN,[],2022,STAVANGER,nan
925777080,ANDERS STENSLAND AS,Aksjeselskap,2020-10-12,18,"REMA 1000 STORABERGET, Binnekroken 1, 4034 STAVANGER",2020-09-08,2020-09-08,NaN,NaN,[],2022,STAVANGER,nan
980538613,ANKO AS,Aksjeselskap,1999-02-25,104,"Luramyrveien 12, 4313 SANDNES",1999-01-15,2021-05-27,NaN,NaN,[],2022,SANDNES,nan
926398954,APPEAL FRISØR HANA AS,Aksjeselskap,2021-01-18,13,"Gravarsveien 53A, 4306 SANDNES",2020-10-20,2020-10-20,NaN,NaN,[],2022,SANDNES,nan
921983549,APPLICA NORWAY AS,Aksjeselskap,2019-01-24,22,"c/o Rott Regnskap og Rådgivning AS, Pedersgata 18, 4013 STAVANGER",2018-11-20,2018-11-20,NaN,NaN,[],2022,STAVANGER,nan
934361156,ARCHER AS,Aksjeselskap,1995-02-19,1536,"Sandnesveien 358, 4312 SANDNES",1986-05-12,2023-03-29,NaN,NaN,[],2022,SANDNES,nan
912421163,ARCHER CONSULTING AS,Aksjeselskap,2013-09-16,51,"Sandnesveien 358, 4312 SANDNES",2013-08-26,2020-06-30,NaN,NaN,[],2022,SANDNES,nan
968145843,ARCHER OILTOOLS AS,Aksjeselskap,1995-02-20,189,"Sandnesveien 358, 4312 SANDNES",1993-10-15,2020-03-18,NaN,NaN,[],2022,SANDNES,nan
926768123,ARDOR & COMPANY AS,Aksjeselskap,2021-03-10,15,"St. Svithuns gate 12, 4008 STAVANGER",2021-02-16,2021-06-10,NaN,NaN,[],2022,STAVANGER,nan
918316760,ARENA MC AS,Aksjeselskap,2017-01-04,16,"Somaveien 1, 4313 SANDNES",2016-12-14,2020-12-31,NaN,NaN,[],2022,SANDNES,nan
979221215,ARENA TRENINGSSENTER AS,Aksjeselskap,1997-09-17,49,"Jåttåvågveien 7, 4020 STAVANGER",1997-08-01,2022-05-20,NaN,NaN,[],2022,STAVANGER,nan
932295040,ARKIPARTNER AS,Aksjeselskap,1995-02-19,10,"Jens Zetlitz' gate 38, 4008 STAVANGER",1982-01-15,2010-10-19,NaN,NaN,[],2022,STAVANGER,nan
878666372,ARKITEKTFIRMA HELEN & HARD AS,Aksjeselskap,1997-07-02,30,"Erfjordgata 8, 4014 STAVANGER",1997-01-01,2015-10-15,NaN,NaN,[],2022,STAVANGER,nan
948232464,ARKITEKTKONTORET VEST AS,Aksjeselskap,1995-02-19,15,"Langgata 3, 4306 SANDNES",1988-09-02,2009-08-31,NaN,NaN,[],2022,SANDNES,nan
915728669,AROY THAI AS,Aksjeselskap,2015-07-31,15,"Langgaten 25, 4307 SANDNES",2015-07-04,2015-07-04,NaN,NaN,[],2022,SANDNES,nan
968455265,ARRIBATEC EA & BPM AS,Aksjeselskap,1995-02-20,59,"Grenseveien 21, 4313 SANDNES",1994-01-01,2021-10-28,NaN,NaN,[],2022,SANDNES,nan
927733293,ARVE SELE KRISTENSEN AS,Aksjeselskap,2021-09-15,16,"c/o REMA 1000 HÅBAFJELL, Håbafjellveien 4, 4325 SANDNES",2021-08-23,2021-08-23,NaN,NaN,[],2022,SANDNES,nan
828855832,AS BETONG,Aksjeselskap,2022-03-02,87,"Dreierveien 25, 4321 SANDNES",2022-02-18,2022-07-27,NaN,NaN,[],2022,SANDNES,nan
915074294,AS HOME AGAIN,Aksjeselskap,2015-03-06,17,"Nygata 1, 4006 STAVANGER",2015-02-26,2015-02-26,NaN,NaN,[],2022,STAVANGER,nan
914754445,AS IRISHMAN,Aksjeselskap,2015-01-06,16,"Høleberggata 9, 4006 STAVANGER",2014-12-11,2014-12-11,NaN,NaN,[],2022,STAVANGER,nan
922686408,ASCENIUM AS,Aksjeselskap,2019-04-29,12,"Kirkegata 3, 4006 STAVANGER",2019-04-02,2022-12-16,NaN,NaN,[],2022,STAVANGER,nan
912716880,ASKNFOYN AS,Aksjeselskap,2013-11-11,12,"Gustava Kiellands gate 12, 4020 STAVANGER",2013-09-10,2019-02-22,NaN,NaN,[],2022,STAVANGER,nan
917483914,ASLE FRANTZEN AS,Aksjeselskap,2016-08-15,29,"c/o REMA 1000 MOSVANNET, Tjensvollveien 1, 4021 STAVANGER",2016-06-15,2016-06-15,NaN,NaN,[],2022,STAVANGER,nan
927385155,ASPERVIK MAT AS,Aksjeselskap,2021-07-06,14,"Rema 1000 Aspervik, Åsveien 159, 4328 SANDNES",2021-06-07,2021-06-07,NaN,NaN,[],2022,SANDNES,nan
970370048,ASTRID SLETTEN,Enkeltpersonforetak,1995-02-20,12,"Haakon VIIs gate 7, 4005 STAVANGER",,,NaN,NaN,[],,STAVANGER,nan
961449189,ATTENDE AS,Aksjeselskap,1995-02-20,84,"Forusskogen 9, 4031 STAVANGER",1991-07-09,2013-01-17,NaN,NaN,[],2022,STAVANGER,nan
930029203,"AUGLENDSDALEN, FRELSESARMEENS BARNEHAGE I STAVANGER AS",Aksjeselskap,2022-11-07,34,"Auglendsdalen 62, 4017 STAVANGER",2022-09-05,2022-11-07,NaN,NaN,[],,STAVANGER,nan
914271533,AUGUSTUM AS,Aksjeselskap,2014-10-08,29,"Bergelandsgata 16, 4012 STAVANGER",2014-09-24,2019-02-08,NaN,NaN,[],2022,STAVANGER,nan
970310436,AUSTRÅTT IDRETTSLAG,Forening/lag/innretning,1995-02-20,17,"Iglemyrveien 3, 4325 SANDNES",1977-08-01,,NaN,NaN,[],,SANDNES,nan
979693729,AUSTVOLL TRE & DESIGN AS,Aksjeselskap,1998-03-17,11,"Heigreveien 148, 4312 SANDNES",1998-03-13,2014-12-24,NaN,NaN,[],2022,SANDNES,nan
919213566,AUTO 2000 AS,Aksjeselskap,1995-02-19,26,"Myklabergveien 3B, 4314 SANDNES",1980-07-29,1994-02-02,NaN,NaN,[],2022,SANDNES,nan
916836775,AUTO CENTER ROGALAND AS,Aksjeselskap,2016-03-03,12,"Sjøveien 4, 4315 SANDNES",2016-02-25,2016-02-25,NaN,NaN,[],2022,SANDNES,nan
977189985,AUTOLAKK Ernst Roald Lutsi,Enkeltpersonforetak,1997-01-29,11,"Kvål, 4323 SANDNES",,,NaN,NaN,[],,SANDNES,nan
961433371,AUTOMASJON OG DATA AS,Aksjeselskap,1995-02-20,20,"Vassbotnen 23, 4033 STAVANGER",1991-06-20,2018-06-06,NaN,NaN,[],2022,STAVANGER,nan
921389434,AUTOSENTER SANDNES AS,Aksjeselskap,2018-09-24,10,"Flådene 3, 4332 FIGGJO",2018-08-23,2020-11-10,NaN,NaN,[],2022,SANDNES,nan
971338504,AVLØYSARLAGET NORD-JÆREN SA,Samvirkeforetak,1995-02-20,437,"Hoveveien 46, 4306 SANDNES",1995-02-20,2011-03-29,NaN,NaN,[],2022,SANDNES,nan
913285026,B & G WELDING CONTRACTING AS,Aksjeselskap,2014-02-25,12,"Håvasteinbakken 13, 4150 RENNESØY",2014-01-29,2016-02-22,NaN,NaN,[],2022,STAVANGER,nan
979823096,B&B TRANSPORT AS,Aksjeselskap,1998-05-08,36,"Regimentveien 128, 4045 HAFRSFJORD",1998-04-27,2022-12-26,NaN,NaN,[],2022,STAVANGER,nan
980813215,BAG & BEAUTIFUL AS,Aksjeselskap,1999-06-08,36,"Eiganesveien 164, 4009 STAVANGER",1999-05-18,2018-08-21,NaN,NaN,[],2022,STAVANGER,nan
922971706,BAK TIL LIVET AS,Aksjeselskap,2019-06-26,19,"Østervåg 36, 4006 STAVANGER",2019-06-04,2021-03-01,NaN,NaN,[],2022,STAVANGER,nan
913174437,BAKERHJØRNET AS,Aksjeselskap,2014-02-15,17,"Stavangerveien 32B, 4313 SANDNES",2014-01-28,2015-12-21,NaN,NaN,[],2022,SANDNES,nan
926598481,BAKERHJØRNET LANGGATA AS,Aksjeselskap,2021-02-16,10,"Langgata 18, 4306 SANDNES",2021-02-01,2021-02-01,NaN,NaN,[],2022,SANDNES,nan
969073846,BAMSEBU BARNEHAGE SA,Samvirkeforetak,1995-02-20,29,"Dusavikhagen 2, 4028 STAVANGER",1993-12-20,2017-04-06,NaN,NaN,[],2022,STAVANGER,nan
922287252,BANKERS FORUS AS,Aksjeselskap,2019-02-26,17,"Forusparken 22, 4031 STAVANGER",2019-02-14,2020-12-30,NaN,NaN,[],2022,STAVANGER,nan
980932834,BARTEC AS,Aksjeselskap,1999-08-27,56,"Vestre Svanholmen 24, 4313 SANDNES",1999-06-15,2019-07-23,NaN,NaN,[],2023,SANDNES,nan
923276238,BARTENDERUTLEIE AS,Aksjeselskap,2019-09-09,13,"Auglendsdalen 81, 4017 STAVANGER",2019-08-13,2019-08-13,NaN,NaN,[],2022,STAVANGER,nan
919510811,BASE BOLIG AS,Aksjeselskap,2017-09-04,10,"Niels Juels gate 50, 4008 STAVANGER",2017-08-15,2021-09-29,NaN,NaN,[],2022,STAVANGER,nan
952090275,BATE BOLIGBYGGELAG,Boligbyggelag,1995-02-19,93,"Zetlitzveien 2, 4017 STAVANGER",1946-01-04,2014-05-22,NaN,NaN,[],2022,STAVANGER,nan
960804953,BAVARIA NORGE AS,Aksjeselskap,1995-03-12,363,"Fabrikkveien 36, 4033 STAVANGER",1991-04-23,2022-10-25,NaN,NaN,[],2022,STAVANGER,nan
978658466,BBE TAKST AS,Aksjeselskap,1997-06-27,12,"Welhavens vei 15, 4319 SANDNES",1997-05-05,2018-08-21,NaN,NaN,[],2022,SANDNES,nan
917839247,BEDRE BURGER 1 AS,Aksjeselskap,2016-10-06,24,"Vågsgata 15, 4306 SANDNES",2016-09-20,2016-09-20,NaN,NaN,[],2022,SANDNES,nan
921568320,BEDRE BURGER 2 AS,Aksjeselskap,2018-10-17,42,"Pedersgata 8A, 4013 STAVANGER",2018-09-06,2018-09-06,NaN,NaN,[],2022,STAVANGER,nan
929172922,BEDRE BURGER 4 AS,Aksjeselskap,2022-05-16,23,"Madlaveien 299, 4042 HAFRSFJORD",2022-03-31,2022-03-31,NaN,NaN,[],2022,STAVANGER,nan
926934406,BEDRE SUSHI 1 AS,Aksjeselskap,2021-04-13,14,"Vågsgata 15, 4306 SANDNES",2021-03-25,2021-03-25,NaN,NaN,[],2022,SANDNES,nan
921813619,BELLIES AS,Aksjeselskap,2018-11-30,20,"Støperigata 6, 4014 STAVANGER",2018-11-15,2023-08-22,NaN,NaN,[],2022,STAVANGER,nan
922635242,BEMANNINGSXPERTEN ROGALAND AS,Aksjeselskap,2019-04-12,34,"Luramyrveien 40, 4313 SANDNES",2019-03-14,2019-03-14,NaN,NaN,[],2022,SANDNES,nan
912771784,BERTEL O STEEN ROGALAND AS,Aksjeselskap,1995-02-19,129,"Vassbotnen 9, 4313 SANDNES",1933-06-13,2016-10-24,NaN,NaN,[],2022,SANDNES,nan
917015961,BEYONDER AS,Aksjeselskap,2016-04-25,45,"Stokkamyrveien 30, 4313 SANDNES",2016-03-30,2023-09-13,NaN,NaN,[],2022,SANDNES,nan
915694608,BIKEFINDER AS,Aksjeselskap,2015-08-05,12,"Veritasveien 25, 4007 STAVANGER",2015-06-11,2022-06-27,NaN,NaN,[],2022,STAVANGER,nan
932580861,BIL OG ANLEGGSDEKK AS,Aksjeselskap,1995-02-19,30,"Sandnesveien 362, 4312 SANDNES",1982-09-15,2010-06-14,NaN,NaN,[],2022,SANDNES,nan
927486040,BILBYEN BILPLEIE BERGEN AS,Aksjeselskap,2021-07-30,20,"Vassbotnen 13, 4313 SANDNES",2021-06-17,2021-12-23,NaN,NaN,[],2022,SANDNES,nan
914367212,BILHUSET SKADE & LAKK AS,Aksjeselskap,2014-10-28,43,"c/o Bilhuset Skade & Lakk, Vestre Svanholmen 9, 4313 SANDNES",2014-10-03,2016-02-11,NaN,NaN,[],2022,SANDNES,nan
920222315,BISS GAUSEL,Stiftelse,2018-01-24,78,"Gauselbakken 107, 4032 STAVANGER",2017-12-12,2018-06-07,NaN,NaN,[],2022,STAVANGER,nan
930685186,BISS PRESCHOOL AS,Aksjeselskap,2023-01-20,36,"Gauselbakken 105, 4032 STAVANGER",2022-12-08,2022-12-08,NaN,NaN,[],,STAVANGER,nan
818476272,BISS SENTRUM AS,Aksjeselskap,2017-01-31,44,"Misjonsmarka 1, 4024 STAVANGER",2017-01-17,2019-08-27,NaN,NaN,[],2022,STAVANGER,nan
877675122,BITMAP AS,Aksjeselskap,1997-05-30,12,"Ryfylkegata 22, 4014 STAVANGER",1997-05-07,2017-09-27,NaN,NaN,[],2022,STAVANGER,nan
918551972,BIV AS,Aksjeselskap,2017-02-13,11,"Sjøhagen 11, 4016 STAVANGER",2017-01-30,2017-01-30,NaN,NaN,[],2022,STAVANGER,nan
915753329,BIÅ STEINERBARNEHAGE AS,Aksjeselskap,2015-08-07,15,"Figgjogata 11, 4015 STAVANGER",2015-07-15,2015-07-15,NaN,NaN,[],2022,STAVANGER,nan
979503172,BJERGABYGG AS,Aksjeselskap,1998-01-15,33,"Luramyrveien 9, 4313 SANDNES",1997-12-23,2004-12-03,NaN,NaN,[],2022,SANDNES,nan
918680195,BJERKS TREVAREFABRIKK AS,Aksjeselskap,1995-03-12,16,"Torkel Haabeths vei 47, 4325 SANDNES",1977-12-21,1997-05-28,NaN,NaN,[],2022,SANDNES,nan
925323276,BLU ELECTRO AS,Aksjeselskap,2020-07-09,161,"Forusbeen 78, 4033 STAVANGER",2020-06-17,2023-10-02,NaN,NaN,[],2022,STAVANGER,nan
816850002,BLU OFFSHORE AS,Aksjeselskap,2016-03-07,131,"Forusbeen 78, 4033 STAVANGER",2016-02-25,2020-11-30,NaN,NaN,[],2022,STAVANGER,nan
917464251,BLUEPLANET ACADEMY AS,Aksjeselskap,2016-09-13,11,"Richard Johnsens gate 4, 4021 STAVANGER",2016-07-01,2017-09-23,NaN,NaN,[],2022,STAVANGER,nan
818854242,BN GULL AS,Aksjeselskap,2017-04-12,11,"Bjørklund 2, Gamle Stokkavei 1, 4313 SANDNES",2017-03-21,2017-03-21,NaN,NaN,[],2022,SANDNES,nan
915017797,BOB BYGG AS,Aksjeselskap,2015-02-23,20,"Høylandsgata 7, 4306 SANDNES",2015-02-03,2021-10-15,NaN,NaN,[],2021,SANDNES,nan
965109951,BOGANES BARNEHAGE SA,Samvirkeforetak,1995-03-12,37,"Gauselvågen 3, 4032 STAVANGER",1992-02-26,2021-04-28,NaN,NaN,[],2022,STAVANGER,nan
950167122,BOHUS FORUS AS,Aksjeselskap,1995-02-19,35,"Stokkamyrveien 18B, 4313 SANDNES",1988-11-24,2010-09-30,NaN,NaN,[],2022,SANDNES,nan
915295797,BOLDER TECHNOLOGY AS,Aksjeselskap,2015-05-13,11,"Hellandsveien 55, 4150 RENNESØY",2015-03-20,2023-07-07,NaN,NaN,[],2022,STAVANGER,nan
813847442,BOLIGKONSULENTENE AS,Aksjeselskap,2014-08-25,14,"Holbergs gate 19, 4306 SANDNES",2014-06-27,2017-06-19,NaN,NaN,[],2022,SANDNES,nan
926028162,BOLY BYGG AS,Aksjeselskap,2020-11-24,14,"Forusbeen 210, 4313 SANDNES",2020-11-11,2021-02-16,NaN,NaN,[],2022,SANDNES,nan
914007534,BONITA CONCEPT AS,Aksjeselskap,2014-08-25,10,"Madlakrossen 7, 4042 HAFRSFJORD",2014-07-04,2022-08-23,NaN,NaN,[],2022,STAVANGER,nan
917362394,BOOST AI AS,Aksjeselskap,2016-06-23,81,"Grenseveien 21, 4313 SANDNES",2016-05-31,2023-05-26,NaN,NaN,[],2022,SANDNES,nan
924404442,BORE MASKIN AS,Aksjeselskap,2020-01-14,10,"Forusbeen 210, 4313 SANDNES",2019-12-01,2019-12-01,NaN,NaN,[],2022,SANDNES,nan
980885526,BOREAL NORGE AS,Aksjeselskap,1999-07-02,44,"Haakon VIIs gate 7, 4005 STAVANGER",1999-06-15,2018-10-29,NaN,NaN,[],2022,STAVANGER,nan
942962568,BOREAL TRAVEL AS,Aksjeselskap,1995-02-19,552,"Treskeveien 5, 4043 HAFRSFJORD",1987-03-27,2018-10-18,NaN,NaN,[],2022,STAVANGER,nan
819707782,BRAGETUNET DAGLIGVARE AS,Aksjeselskap,2017-10-11,12,"Christian Bjellands gate 6, 4026 STAVANGER",2017-09-13,2017-09-13,NaN,NaN,[],2022,STAVANGER,nan
939700463,BRANDSBERG-DAHLS ARKITEKTKONTOR AS,Aksjeselskap,1995-02-19,17,"Engelsminnegata 16A, 4008 STAVANGER",1986-06-06,2022-08-16,NaN,NaN,[],2022,STAVANGER,nan
956685818,BRANSJEFORENINGEN OFFSHORE NORGE,Forening/lag/innretning,1995-02-20,49,"Fjordpiren, Laberget 22, 4020 STAVANGER",1988-01-02,,NaN,NaN,[],2022,STAVANGER,nan
926089161,BRYNES PLANTER AS,Aksjeselskap,2020-12-02,11,"Jåttåveien 92, 4020 STAVANGER",2020-11-10,2020-11-10,NaN,NaN,[],2022,STAVANGER,nan
913875818,BRØDRENE LIE AS,Aksjeselskap,1995-03-12,61,"Brannstasjonsveien 20, 4312 SANDNES",1977-06-01,2015-09-19,NaN,NaN,[],2022,SANDNES,nan
943834164,BRØDRENE PEDERSEN AS,Aksjeselskap,1995-02-19,25,"Breigata 5, 4006 STAVANGER",1986-06-05,1998-09-24,NaN,NaN,[],2022,STAVANGER,nan
926970127,BTWN AS,Aksjeselskap,2021-04-20,12,"Rådhusgata 6, 4306 SANDNES",2021-03-26,2023-01-20,NaN,NaN,[],2022,SANDNES,nan
887493812,BUGGELAND BARNEHAGE SA,Samvirkeforetak,2004-11-24,19,"Buggelandsbakken 145, 4324 SANDNES",2004-10-28,2009-03-24,NaN,NaN,[],2022,SANDNES,nan
916736002,BUHR AS,Aksjeselskap,2016-02-16,38,"Vestre Svanholmen 14, 4313 SANDNES",2016-01-06,2021-12-14,NaN,NaN,[],2022,SANDNES,nan
889253932,BURGER & PIZZACOMPANIET AS,Aksjeselskap,2006-01-04,12,"Jærveien 142, 4321 SANDNES",2005-12-16,2005-12-16,NaN,NaN,[],2022,SANDNES,nan
930514225,BURGER HANA AS,Aksjeselskap,2023-01-03,18,"Sletteveien 1, 4328 SANDNES",2022-11-01,2022-11-01,NaN,NaN,[],,SANDNES,nan
919341564,BUTIKKDRIFT TJENSVOLL AS,Aksjeselskap,2017-07-27,18,"Tjensvolltorget 25, 4021 STAVANGER",2017-06-26,2022-09-13,NaN,NaN,[],2022,STAVANGER,nan
919956070,BYFJORDPARKEN BARNEHAGE AS,Aksjeselskap,2017-11-23,59,"Byfjordparken 13, 4007 STAVANGER",2017-11-14,2017-11-14,NaN,NaN,[],2022,STAVANGER,nan
911599236,BYGGA AS,Aksjeselskap,2013-02-21,13,"Breivikveien 33B, 4014 STAVANGER",2013-02-11,2020-03-10,NaN,NaN,[],2022,STAVANGER,nan
920274188,BYGGFORNYING AS,Aksjeselskap,2018-01-19,11,"Welhavens vei 15, 4319 SANDNES",2018-01-10,2018-03-02,NaN,NaN,[],2022,SANDNES,nan
823488882,BYGGMESTER BOB AS,Aksjeselskap,2019-09-30,38,"Ullandhaugveien 25, 4019 STAVANGER",2019-09-04,2019-12-10,NaN,NaN,[],2022,STAVANGER,nan
920444970,BYGGMESTER KLUGE OG FROSTAD AS,Aksjeselskap,2018-02-15,15,"Randabergveien 33, 4025 STAVANGER",2018-02-08,2018-12-14,NaN,NaN,[],2022,STAVANGER,nan
961802830,BYGGMESTER SAGEN AS,Aksjeselskap,1995-02-20,114,"Kontorveien 15, 4033 STAVANGER",1991-10-02,2018-04-12,NaN,NaN,[],2022,STAVANGER,nan
976041720,"BYGGOPP, OPPLÆRINGSKONTOR FOR BYGG- OG ANLEGGSTEKNIKK ROGALAND AS",Aksjeselskap,1996-01-30,10,"Vassbotnen 23, 4033 STAVANGER",1995-09-21,2016-03-29,NaN,NaN,[],2022,STAVANGER,nan
952473042,BYHAUGEN BARNEHAGE SA,Samvirkeforetak,1995-02-19,38,"Fjellfaret 41, 4025 STAVANGER",1989-06-20,2012-06-30,NaN,NaN,[],2022,STAVANGER,nan
965410872,BØNDENES INNKJØPSLAG SA,Samvirkeforetak,1995-02-20,14,"Hoveveien 80, 4306 SANDNES",1992-10-28,2012-11-22,NaN,NaN,[],2022,SANDNES,nan
916598335,CALIAN EUROPE AS,Aksjeselskap,2016-01-21,14,"Ishockeyveien 1, 4021 STAVANGER",2016-01-11,2022-02-18,NaN,NaN,[],2022,STAVANGER,nan
920262864,CAMELIAS HUS AS,Aksjeselskap,2018-01-18,10,"Lundegeilen 20, 4323 SANDNES",2017-11-23,2017-11-23,NaN,NaN,[],2022,SANDNES,nan
929155130,CANOE AS,Aksjeselskap,2022-05-05,11,"Breigata 5, 4006 STAVANGER",2022-04-01,2023-05-22,NaN,NaN,[],2022,STAVANGER,nan
888920412,CANRIG ROBOTIC TECHNOLOGIES AS,Aksjeselskap,2005-12-10,24,"Næringsveien 3, 4323 SANDNES",2005-10-06,2022-11-30,NaN,NaN,[],2022,SANDNES,nan
