orgnr,role,company_name,company_orgnr,last_changed
918316760,Regnskapsfører,LINFRO REGNSKAP AS,976487494,2017-01-24
979221215,Revisor,SOLVIK-OLSEN REVISJON AS,992395826,2023-01-03
979221215,Regnskapsfører,LIMA REGNSKAP AS,918953515,2022-01-28
932295040,Revisor,"STATSAUTORISERT REVISOR KENNETH', 'SENLAND",995982226,2012-07-09
932295040,Regnskapsfører,RELEVANT REGNSKAP AS,919828129,2024-01-11
878666372,Revisor,DELOITTE AS,980211282,2016-04-12
878666372,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2022-06-18
948232464,Revisor,STAVANGER REVISJON AS,985182736,2008-02-19
948232464,Regnskapsfører,"JANSSON & LARSEN REGNSKAP SANDNES', 'AS",922723605,2022-05-20
915728669,Regnskapsfører,LIGO REGNSKAP AS,892122652,2023-06-08
968455265,Revisor,BDO AS,993606650,2022-01-10
968455265,Regnskapsfører,AZETS INSIGHT AS,983338917,2023-01-03
927733293,Revisor,ERNST & YOUNG AS,976389387,2021-09-15
927733293,Regnskapsfører,REMA 1000 NORGE AS,982254604,2021-09-15
828855832,Revisor,ERGA REVISJON AS,980024679,2022-03-02
828855832,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2022-06-09
915074294,Regnskapsfører,KPMG REGNSKAPSSERVICE AS,923070559,2021-02-05
915074294,Regnskapsfører,ANKER REGNSKAP AS,994257404,2021-02-05
914754445,Revisor,KPMG AS,935174627,2017-11-01
914754445,Regnskapsfører,ANKER REGNSKAP AS,994257404,2015-01-06
922686408,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2022-07-13
922686408,Regnskapsfører,LURA REGNSKAP AS,921761244,2021-06-18
912716880,Revisor,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2022-05-23
912716880,Regnskapsfører,ROTT REGNSKAP OG RÅDGIVNING AS,984313667,2017-10-16
917483914,Revisor,ERNST & YOUNG AS,976389387,2016-08-15
917483914,Regnskapsfører,REMA 1000 NORGE AS,982254604,2016-08-15
927385155,Revisor,ERNST & YOUNG AS,976389387,2021-07-06
927385155,Regnskapsfører,REMA 1000 NORGE AS,982254604,2021-07-06
970370048,Regnskapsfører,LIGO REGNSKAP AS,892122652,2023-03-23
961449189,Revisor,DELOITTE AS,980211282,2023-10-10
961449189,Regnskapsfører,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2023-12-22
961449189,Regnskapsfører,SVAL REGNSKAP AS,995955768,2023-12-22
930029203,Revisor,DELOITTE AS,980211282,2022-11-07
914271533,Revisor,STAVANGER REVISJON AS,985182736,2020-04-22
914271533,Regnskapsfører,CONSULANS AS,930679585,2023-05-22
970310436,Revisor,REVISJON VEST AS,982519411,2023-06-22
970310436,Regnskapsfører,FORTE REGNSKAP AS,975378012,2023-12-16
979693729,Revisor,BDO AS,993606650,2012-02-15
919213566,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2004-07-12
916836775,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2017-11-08
977189985,Regnskapsfører,JÆREN REGNSKAP AS,975966992,2016-02-24
961433371,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-08-25
961433371,Regnskapsfører,DATAPLAN ALPHA AS,896861042,2011-12-21
921389434,Revisor,BDO AS,993606650,2022-06-14
921389434,Regnskapsfører,ACCOUNT AS,927515733,2022-05-16
971338504,Revisor,REVISJON VEST AS,982519411,2019-05-16
913285026,Regnskapsfører,BDO AS,993606650,2023-03-14
979823096,Revisor,BDO AS,993606650,2021-10-19
979823096,Regnskapsfører,REGNSKAP-SERVICE FLEKKEFJORD AS,986299467,2012-04-11
980813215,Revisor,ERGA REVISJON AS,980024679,1999-06-08
922971706,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2024-02-22
913174437,Revisor,CREDO REVISJON AS,996105709,2016-01-15
913174437,Regnskapsfører,SANDNES REGNSKAP AS,980126625,2021-11-16
926598481,Regnskapsfører,SANDNES REGNSKAP AS,980126625,2022-10-17
969073846,Revisor,KPMG AS,935174627,2019-01-07
969073846,Regnskapsfører,PBL REGNSKAP AS,988954691,2020-01-27
922287252,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-11-17
922287252,Regnskapsfører,NUMBERS AS,919948329,2021-06-08
980932834,Revisor,BHL DA,992768061,2023-04-24
923276238,Regnskapsfører,NUMBERS AS,919948329,2023-12-04
919510811,Revisor,DELOITTE AS,980211282,2017-09-04
919510811,Regnskapsfører,PRE SOLUTIONS AS,829002132,2022-09-01
952090275,Revisor,KPMG AS,935174627,2016-10-07
960804953,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2018-01-22
978658466,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2004-07-20
917839247,Revisor,REVISJON VEST AS,982519411,2019-08-29
917839247,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-10-18
921568320,Revisor,REVISJON VEST AS,982519411,2019-09-09
921568320,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-10-18
929172922,Revisor,REVISJON VEST AS,982519411,2023-09-29
929172922,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-10-19
926934406,Revisor,REVISJON VEST AS,982519411,2024-01-22
926934406,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-10-19
921813619,Revisor,ERGA REVISJON AS,980024679,2021-07-19
921813619,Regnskapsfører,DYNAMIK SMART ACCOUNTING AS,921859678,2019-01-25
922635242,Revisor,DELOITTE AS,980211282,2023-11-08
912771784,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2023-09-05
917015961,Revisor,ERNST & YOUNG AS,976389387,2021-07-19
917015961,Regnskapsfører,KJELL HAVER REGNSKAPSSERVICE AS,947214489,2016-04-25
915694608,Revisor,STAVANGER REVISJON AS,985182736,2020-02-21
915694608,Regnskapsfører,RELEVANT REGNSKAP AS,919828129,2018-03-22
932580861,Revisor,ERGA REVISJON AS,980024679,1999-11-20
932580861,Regnskapsfører,FORTE REGNSKAP AS,975378012,2023-12-15
927486040,Revisor,RSM NORGE AS,982316588,2021-07-30
927486040,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2022-02-25
914367212,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2016-08-31
914367212,Regnskapsfører,AIDER AS,922633452,2023-12-16
920222315,Revisor,BDO AS,993606650,2020-09-22
920222315,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-01-05
930685186,Revisor,BDO AS,993606650,2023-01-20
930685186,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-01-20
818476272,Revisor,BDO AS,993606650,2020-10-06
818476272,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2023-11-30
877675122,Revisor,REVISJON VEST AS,982519411,2014-12-22
877675122,Regnskapsfører,AZETS INSIGHT AS,983338917,2018-07-04
918551972,Revisor,BDO AS,993606650,2017-02-13
915753329,Revisor,JÆRREVISJON AS,988432539,2017-09-11
915753329,Regnskapsfører,JÆRØK DA,986397167,2015-08-17
979503172,Revisor,IMO ØKONOMIPARTNER AS,926376691,2021-12-10
979503172,Regnskapsfører,AIDER AS,922633452,2023-12-16
918680195,Revisor,RSM NORGE AS,982316588,2018-07-04
925323276,Revisor,ERNST & YOUNG AS,976389387,2020-07-09
925323276,Regnskapsfører,ROTT REGNSKAP OG RÅDGIVNING AS,984313667,2022-09-29
816850002,Revisor,ERNST & YOUNG AS,976389387,2016-03-07
816850002,Regnskapsfører,ROTT REGNSKAP OG RÅDGIVNING AS,984313667,2022-09-01
917464251,Revisor,REVISJON RYFYLKE AS,983549896,2020-11-07
917464251,Regnskapsfører,"JANSSON & LARSEN REGNSKAP SANDNES', 'AS",922723605,2020-01-23
818854242,Revisor,RSM NORGE AS,982316588,2019-08-01
915017797,Regnskapsfører,LEIF KIELSEN REGNSKAPSKONTOR,948390663,2022-11-30
965109951,Revisor,KPMG AS,935174627,2023-01-31
965109951,Regnskapsfører,PBL REGNSKAP AS,988954691,2010-07-15
950167122,Revisor,ERNST & YOUNG AS,976389387,2020-08-13
950167122,Regnskapsfører,BDO AS,993606650,2021-12-08
915295797,Revisor,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2023-10-31
915295797,Regnskapsfører,DYNAMIK SMART ACCOUNTING AS,921859678,2022-02-01
813847442,Revisor,STAVANGER REVISJON AS,985182736,2018-09-08
813847442,Regnskapsfører,PRE SOLUTIONS AS,829002132,2023-12-26
813847442,Regnskapsfører,BRAINIACS AS,921966490,2023-12-26
926028162,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2021-03-05
926028162,Regnskapsfører,JÆREN REGNSKAP AS,975966992,2022-08-23
914007534,Regnskapsfører,BDO AS,993606650,2017-02-13
917362394,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2018-08-16
917362394,Regnskapsfører,BDO AS,993606650,2023-12-05
924404442,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2022-09-19
924404442,Regnskapsfører,JÆREN REGNSKAP AS,975966992,2020-01-14
980885526,Revisor,ERNST & YOUNG AS,976389387,2003-07-02
942962568,Revisor,ERNST & YOUNG AS,976389387,2013-12-19
819707782,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2017-10-11
819707782,Regnskapsfører,I K LYKKE DRIFT AS,914048117,2017-10-11
939700463,Revisor,AAUDIT AS,927653508,2022-01-20
956685818,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2016-11-15
956685818,Regnskapsfører,AMESTO ACCOUNTHOUSE AS,957170005,2019-09-03
926089161,Revisor,CREDO REVISJON AS,996105709,2020-12-02
913875818,Revisor,RSM NORGE AS,982316588,2018-07-04
943834164,Revisor,ERGA REVISJON AS,980024679,2014-01-16
943834164,Regnskapsfører,ECIT BUSINESS PARTNER PLUSS AS,987770384,2023-06-14
926970127,Revisor,REVISJON VEST AS,982519411,2023-12-21
887493812,Revisor,RSM NORGE AS,982316588,2019-05-21
887493812,Regnskapsfører,DATAPLAN ALPHA AS,896861042,2011-12-21
916736002,Revisor,CREDO REVISJON AS,996105709,2021-03-12
916736002,Regnskapsfører,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2019-09-20
889253932,Revisor,STAVANGER REVISJON AS,985182736,2006-01-04
889253932,Regnskapsfører,KJELL HAVER REGNSKAPSSERVICE AS,947214489,2006-09-09
930514225,Revisor,LIIT AS,931900420,2023-11-09
930514225,Regnskapsfører,LIGO REGNSKAP AS,892122652,2023-01-03
919341564,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2017-07-27
919341564,Regnskapsfører,I K LYKKE DRIFT AS,914048117,2017-07-27
919956070,Revisor,KPMG AS,935174627,2023-11-30
919956070,Regnskapsfører,PBL REGNSKAP AS,988954691,2018-06-27
911599236,Revisor,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2018-08-21
911599236,Regnskapsfører,AIDER AS,922633452,2023-12-16
920274188,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2018-01-19
920274188,Regnskapsfører,AZETS INSIGHT AS,983338917,2018-07-04
823488882,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2020-06-02
823488882,Regnskapsfører,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2022-12-16
920444970,Revisor,REVISJON VEST AS,982519411,2021-11-25
920444970,Regnskapsfører,AIDER AS,922633452,2023-12-16
961802830,Revisor,ERGA REVISJON AS,980024679,2003-01-28
976041720,Revisor,KPMG AS,935174627,1996-02-08
976041720,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2015-11-02
952473042,Revisor,RSM NORGE AS,982316588,2018-07-04
952473042,Regnskapsfører,VISTNES REGNSKAP AS,979296126,2003-06-05
965410872,Revisor,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2022-11-30
965410872,Regnskapsfører,ROTT REGNSKAP OG RÅDGIVNING AS,984313667,2019-11-04
916598335,Revisor,TJEMSLAND REVISJON & RÅDGIVNING AS,930216976,2023-07-07
916598335,Regnskapsfører,MAGNUS TAX ACCOUNTING AS,995513951,2016-08-30
920262864,Revisor,FRYD REVISJON AS,919314443,2020-05-15
920262864,Regnskapsfører,BJERGA REGNSKAP AS,927211343,2021-10-01
929155130,Regnskapsfører,JANSSON & LARSEN REGNSKAP AS,979713894,2022-05-05
888920412,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2017-10-10
888920412,Regnskapsfører,JANSSON & LARSEN REGNSKAP AS,979713894,2021-09-14
925252158,Revisor,ERGA REVISJON AS,980024679,2020-06-25
925252158,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2020-07-02
980364801,Revisor,DELOITTE AS,980211282,2017-11-15
980364801,Regnskapsfører,ABACUS RATIO AS,964091277,2022-11-21
897191342,Revisor,REVISJON VEST AS,982519411,2022-07-19
897191342,Regnskapsfører,PRE SOLUTIONS AS,829002132,2023-12-19
897191342,Regnskapsfører,NUMBERS AS,919948329,2023-12-19
938374740,Revisor,REVISJON VEST AS,982519411,2017-07-11
938374740,Regnskapsfører,FLYT REGNSKAP AS,927689766,2021-11-01
916594380,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-08-30
916594380,Regnskapsfører,LINK MANAGEMENT AS,929194276,2023-09-18
924373792,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-11-17
924373792,Regnskapsfører,NUMBERS AS,919948329,2021-06-08
937781075,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2011-02-08
937781075,Regnskapsfører,AZETS INSIGHT AS,983338917,2020-01-29
937781075,Regnskapsfører,INTERTRUST ACCOUNTING (NORWAY) AS,997421035,2020-01-29
915521355,Revisor,BDO AS,993606650,2023-09-29
915521355,Regnskapsfører,JANSSON & LARSEN REGNSKAP AS,979713894,2020-01-06
915521355,Regnskapsfører,AZETS INSIGHT AS,983338917,2020-01-06
919305541,Revisor,DELOITTE AS,980211282,2022-11-30
816708052,Regnskapsfører,AIDER AS,922633452,2023-12-16
932810069,Revisor,BDO AS,993606650,2016-01-05
932810069,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2016-01-05
980890643,Revisor,DELOITTE AS,980211282,1999-08-04
922723052,Revisor,KPMG AS,935174627,2019-09-02
929085019,Regnskapsfører,SKYA REGNSKAP AS,918097902,2022-05-12
947225871,Regnskapsfører,DATAPLAN ALPHA AS,896861042,2011-12-21
913296117,Revisor,ERGA REVISJON AS,980024679,2014-06-18
924352256,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2021-08-02
919319666,Regnskapsfører,KJELL HAVER REGNSKAPSSERVICE AS,947214489,2017-07-20
976176014,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2023-09-22
976176014,Regnskapsfører,ECIT BUSINESS PARTNER AS,987605073,2023-03-02
916538804,Revisor,ERGA REVISJON AS,980024679,2016-04-26
916538804,Regnskapsfører,JANSSON & LARSEN REGNSKAP AS,979713894,2016-04-26
954852873,Revisor,AAUDIT AS,927653508,2022-01-07
954852873,Regnskapsfører,RYGR ØKONOMI AS,976899709,2022-12-14
951712035,Revisor,REVISJON VEST AS,982519411,2021-09-02
966833300,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2004-07-20
953452626,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2004-07-20
917275432,Revisor,FORUS REVISJON AS,986352945,2021-11-03
917275432,Regnskapsfører,"JANSSON & LARSEN REGNSKAP SANDNES', 'AS",922723605,2023-09-13
926884174,Regnskapsfører,BRAINIACS AS,921966490,2022-02-22
926810200,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2021-03-17
923079718,Revisor,ERGA REVISJON AS,980024679,2005-06-25
929229592,Revisor,ERGA REVISJON AS,980024679,2022-05-20
929229592,Regnskapsfører,"JANSSON & LARSEN REGNSKAP SANDNES', 'AS",922723605,2022-08-18
928318672,Revisor,BDO AS,993606650,2021-12-10
928318672,Regnskapsfører,ACCOUNTOR AS,981947843,2022-01-21
965451129,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2006-09-30
965451129,Regnskapsfører,ECIT SERVICES AS,993800139,2023-12-11
822266592,Revisor,AAUDIT AS,927653508,2023-06-30
927380692,Revisor,FORUS REVISJON AS,986352945,2021-07-05
927380692,Regnskapsfører,"RENNESØY OG RANDABERG', 'REKNESKAPSLAG SA",955230728,2021-08-25
921109164,Revisor,RSM NORGE AS,982316588,2018-07-04
921109164,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2018-07-03
824570272,Revisor,RSM NORGE AS,982316588,2020-02-10
824570272,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2020-09-16
931075349,Revisor,RSM NORGE AS,982316588,2023-03-21
931075349,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2023-06-27
924537647,Regnskapsfører,RELEVANT REGNSKAP AS,919828129,2020-12-14
914141508,Regnskapsfører,STAR REGNSKAP AS,886937342,2021-06-29
915931987,Revisor,ERNST & YOUNG AS,976389387,2016-11-19
915931987,Regnskapsfører,REMA 1000 NORGE AS,982254604,2015-09-23
917221928,Regnskapsfører,VISTNES REGNSKAP AS,979296126,2016-05-25
921629559,Revisor,NITSCHKE AS,914658314,2018-11-16
921629559,Regnskapsfører,ADMENTO AS,989176013,2021-01-13
896861042,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2023-11-10
896861042,Regnskapsfører,NORIAN REGNSKAP AS,879906792,2023-10-10
928450694,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2021-12-29
927239922,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2021-06-10
930990132,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2023-03-09
914367182,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2016-09-26
914367182,Regnskapsfører,AIDER AS,922633452,2023-12-16
914734908,Revisor,DELOITTE AS,980211282,2019-04-01
914734908,Regnskapsfører,MERKANTIL SERVICE AS,916589085,2015-02-11
940325501,Revisor,DELOITTE AS,980211282,2018-03-21
940325501,Regnskapsfører,KNIF REGNSKAP AS,974476495,2016-04-07
915662323,Revisor,REVISJON VEST AS,982519411,2015-07-14
976103262,Revisor,ERGA REVISJON AS,980024679,2013-08-29
976103262,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2023-09-07
871461422,Revisor,ERGA REVISJON AS,980024679,2019-08-20
914858488,Revisor,REVISJON VEST AS,982519411,2022-01-24
971002042,Revisor,CREDO REVISJON AS,996105709,2020-12-15
971002042,Regnskapsfører,"B KRISTJANSDOTTIR STATSAUTORISERT', 'REGNSKAPSFØRER",996598039,2022-11-24
913905881,Revisor,ERNST & YOUNG AS,976389387,2014-10-29
920473210,Revisor,KPMG AS,935174627,1990-10-27
920473210,Regnskapsfører,AZETS INSIGHT AS,983338917,2021-03-22
919194200,Revisor,KPMG AS,935174627,2017-06-26
919194200,Regnskapsfører,AZETS INSIGHT AS,983338917,2021-03-22
952522035,Revisor,BDO AS,993606650,2018-09-24
912630714,Revisor,BDO AS,993606650,2018-09-21
963421680,Revisor,ERGA REVISJON AS,980024679,2015-11-02
827810622,Regnskapsfører,AIDER AS,922633452,2023-12-09
927810638,Revisor,BDO AS,993606650,2023-10-20
927810638,Regnskapsfører,AIDER AS,922633452,2023-12-09
924407042,Revisor,HCG REVISJON & RÅDGIVNING AS,931604945,2023-08-31
924407042,Regnskapsfører,MN ØKONOMI OG REGNSKAP AS,920244475,2020-01-14
915379486,Revisor,BDO AS,993606650,2017-05-26
915379486,Regnskapsfører,AIDER AS,922633452,2023-12-14
980430103,Revisor,KPMG AS,935174627,2019-10-28
980430103,Regnskapsfører,PBL REGNSKAP AS,988954691,2019-01-28
960688546,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2018-12-05
960688546,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2023-06-07
960688546,Hovedforetak,DRILL QUIP INC EUROPE LTD,960688635,1991-05-22
980423034,Revisor,KPMG AS,935174627,2012-12-21
980423034,Regnskapsfører,PBL REGNSKAP AS,988954691,2012-05-14
871003882,Revisor,RSM NORGE AS,982316588,2018-07-04
871003882,Regnskapsfører,Forus Regnskapsservice A/S,944961615,2004-05-01
921985665,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2022-05-11
921985665,Regnskapsfører,AABREKK REGNSKAP AS,943611521,2019-01-02
911178664,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2022-07-11
911178664,Regnskapsfører,VIEW LEDGER AS,987260335,2021-09-29
928589056,Revisor,IREVISJON AS,965820310,2022-05-23
928589056,Regnskapsfører,LEIF KIELSEN REGNSKAPSKONTOR,948390663,2022-04-19
980874680,Revisor,STAVANGER REVISJON AS,985182736,2014-11-10
980874680,Regnskapsfører,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2001-11-12
920882536,Revisor,REVISJONSSELSKAPET VARDER AS,983535712,2018-11-01
920882536,Regnskapsfører,VIEW LEDGER AS,987260335,2018-06-26
916895437,Revisor,REVISORGRUPPEN AKERSHUS AS,967604364,2018-09-19
916895437,Regnskapsfører,AZETS INSIGHT AS,983338917,2018-07-04
912402355,Revisor,REVISORGRUPPEN AKERSHUS AS,967604364,2018-09-19
912402355,Regnskapsfører,AZETS INSIGHT AS,983338917,2018-07-04
920292046,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2020-04-03
920292046,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2023-12-16
920292046,Regnskapsfører,AIDER AS,922633452,2023-12-16
931481150,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2023-10-04
931481150,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2023-12-16
931481150,Regnskapsfører,AIDER AS,922633452,2023-12-16
968294237,Revisor,MAZARS AS,979605994,2023-09-08
968294237,Regnskapsfører,ADDVANT STAVANGER AS,926956027,2024-02-13
968294237,Regnskapsfører,BDO AS,993606650,2024-02-13
926624121,Revisor,REVISJON VEST AS,982519411,2021-02-18
