orgnr,role,personal_number
915074294,Styre,7789830
914754445,Daglig leder,2522089
914754445,Styre,7789830
922686408,Daglig leder,5739320
922686408,Styre,5868323
922686408,Styre,7023061
912716880,Kontaktperson,9996227
912716880,Styre,9996227
912716880,Styre,9045519
917483914,Daglig leder,5769914
917483914,Styre,5769914
917483914,Styre,7383497
927385155,Daglig leder,9549430
927385155,Styre,9549430
970370048,Innehaver,3774160
961449189,Daglig leder,5886268
961449189,Styre,3452526
961449189,Styre,4030368
961449189,Styre,8399854
961449189,Styre,7550421
961449189,Styre,2866850
961449189,Styre,7823153
961449189,Styre,8707707
961449189,Styre,7156634
961449189,Styre,2067410
961449189,Styre,3880616
961449189,Styre,9832477
961449189,Styre,3129313
930029203,Daglig leder,9432102
930029203,Styre,1151691
930029203,Styre,7636623
930029203,Styre,3438525
914271533,Daglig leder,6462363
914271533,Styre,6462363
970310436,Styre,4165686
970310436,Styre,3698910
970310436,Styre,8412747
970310436,Styre,8289190
970310436,Styre,8686650
970310436,Styre,8242605
970310436,Styre,2374759
979693729,Daglig leder,6113536
979693729,Styre,6113536
979693729,Styre,7173353
919213566,Daglig leder,5307829
919213566,Styre,3904204
919213566,Styre,5307829
919213566,Styre,1453236
916836775,Daglig leder,3676230
916836775,Styre,4073033
916836775,Styre,3968849
977189985,Innehaver,4802951
977189985,Daglig leder,4802951
961433371,Daglig leder,2533896
961433371,Styre,2610220
961433371,Styre,2533896
961433371,Styre,9518476
961433371,Styre,7106852
921389434,Daglig leder,6460251
921389434,Styre,6460251
971338504,Daglig leder,3135044
971338504,Styre,4547614
971338504,Styre,3931258
971338504,Styre,1796899
971338504,Styre,2236346
971338504,Styre,5629987
971338504,Styre,5224638
971338504,Styre,9559114
971338504,Styre,9642573
971338504,Styre,4792429
971338504,Styre,2922405
913285026,Daglig leder,5976347
913285026,Styre,5976347
913285026,Styre,8815690
979823096,Daglig leder,9114514
979823096,Styre,9114514
979823096,Styre,5254770
979823096,Styre,1333028
980813215,Daglig leder,9728136
980813215,Styre,8636499
980813215,Styre,9728136
980813215,Styre,6752771
922971706,Daglig leder,2337577
922971706,Styre,7273918
922971706,Styre,2337577
913174437,Daglig leder,7006349
913174437,Styre,7006349
913174437,Styre,6759533
926598481,Daglig leder,5659310
926598481,Styre,6759533
926598481,Styre,7458593
926598481,Styre,5659310
926598481,Styre,6845650
969073846,Daglig leder,1330578
969073846,Styre,5679032
969073846,Styre,7418573
969073846,Styre,6706484
969073846,Styre,8052637
969073846,Styre,5708283
969073846,Styre,3579352
969073846,Styre,4099033
969073846,Styre,7622429
922287252,Daglig leder,6363972
922287252,Styre,8020679
922287252,Styre,6363972
980932834,Daglig leder,4394410
980932834,Styre,4394410
980932834,Styre,8486651
980932834,Styre,1502906
923276238,Daglig leder,2792834
923276238,Styre,2792834
923276238,Styre,9534197
919510811,Daglig leder,3036193
919510811,Styre,9312259
919510811,Styre,3094105
919510811,Styre,7573039
919510811,Styre,5649460
952090275,Daglig leder,7569678
952090275,Styre,6837160
952090275,Styre,4216059
952090275,Styre,1335066
952090275,Styre,6866030
952090275,Styre,6370996
952090275,Styre,1662092
952090275,Styre,4078605
952090275,Styre,5526364
952090275,Styre,6940599
952090275,Styre,6567401
952090275,Styre,2915066
960804953,Daglig leder,3602701
960804953,Styre,3602701
960804953,Styre,5568297
960804953,Styre,4391723
978658466,Daglig leder,7790066
978658466,Styre,4366355
978658466,Styre,7790066
978658466,Styre,7480638
917839247,Daglig leder,5780439
917839247,Styre,1774910
917839247,Styre,5780439
921568320,Daglig leder,5780439
921568320,Styre,1774910
921568320,Styre,5780439
929172922,Styre,1774910
929172922,Styre,5780439
926934406,Styre,1774910
926934406,Styre,5780439
921813619,Daglig leder,5979458
921813619,Styre,5569242
921813619,Styre,5979458
921813619,Styre,9073521
922635242,Daglig leder,8392838
922635242,Styre,8866367
922635242,Styre,1923432
922635242,Styre,8392838
912771784,Daglig leder,3186437
912771784,Styre,6958284
912771784,Styre,3821540
917015961,Daglig leder,8871490
917015961,Styre,3903721
917015961,Styre,6996455
917015961,Styre,5008140
917015961,Styre,8906096
917015961,Styre,5298379
915694608,Daglig leder,8825778
915694608,Styre,3275625
915694608,Styre,2203298
915694608,Styre,7011286
915694608,Styre,2021351
932580861,Daglig leder,5364292
932580861,Styre,4884254
932580861,Styre,5364292
932580861,Styre,9651492
932580861,Styre,4972750
932580861,Styre,4641340
927486040,Daglig leder,7218744
927486040,Styre,9202911
927486040,Styre,8619339
927486040,Styre,3292944
927486040,Styre,1305871
927486040,Styre,9150588
914367212,Daglig leder,1314566
914367212,Styre,6865995
914367212,Styre,9944392
914367212,Styre,8320532
914367212,Styre,5760955
920222315,Daglig leder,5897856
920222315,Styre,7470515
920222315,Styre,6603323
920222315,Styre,8719308
920222315,Styre,7051449
920222315,Styre,2856338
930685186,Daglig leder,9808089
930685186,Styre,6646367
930685186,Styre,9708961
930685186,Styre,7470515
818476272,Daglig leder,5897856
818476272,Styre,7470515
818476272,Styre,5358838
818476272,Styre,2236163
818476272,Styre,6276763
818476272,Styre,6646367
818476272,Styre,5897856
877675122,Daglig leder,3531882
877675122,Styre,3531882
877675122,Styre,8857103
877675122,Styre,6512445
918551972,Daglig leder,3743297
918551972,Styre,8252452
918551972,Styre,3743297
915753329,Daglig leder,3349187
915753329,Styre,3349187
979503172,Daglig leder,3742463
979503172,Styre,1454738
979503172,Styre,3917124
979503172,Styre,6510576
979503172,Styre,7798553
918680195,Daglig leder,6230095
918680195,Styre,2255042
918680195,Styre,6230095
918680195,Styre,8916782
918680195,Styre,7285741
925323276,Daglig leder,4670526
925323276,Styre,4670526
925323276,Styre,7017652
925323276,Styre,9756673
925323276,Styre,6741530
816850002,Daglig leder,4670526
816850002,Styre,4670526
816850002,Styre,9756673
816850002,Styre,5941095
816850002,Styre,1670568
917464251,Daglig leder,4390333
917464251,Styre,5067262
917464251,Styre,4390333
917464251,Styre,8513530
917464251,Styre,1135987
917464251,Styre,9995900
818854242,Kontaktperson,5172205
818854242,Styre,5172205
818854242,Styre,5182947
915017797,Daglig leder,4213755
915017797,Styre,4213755
965109951,Daglig leder,6649308
965109951,Styre,3520731
965109951,Styre,2823874
965109951,Styre,3530320
965109951,Styre,3566083
965109951,Styre,5058441
950167122,Daglig leder,1600295
950167122,Styre,5014640
950167122,Styre,1539599
950167122,Styre,6811437
915295797,Daglig leder,8597498
915295797,Styre,9447528
915295797,Styre,5720167
915295797,Styre,6417102
915295797,Styre,2868729
915295797,Styre,7076605
813847442,Daglig leder,6739853
813847442,Styre,6739853
813847442,Styre,4793570
926028162,Daglig leder,1140959
926028162,Styre,4208040
914007534,Daglig leder,8945396
914007534,Styre,8945396
914007534,Styre,4748370
917362394,Daglig leder,4279444
917362394,Styre,6790251
917362394,Styre,9456028
924404442,Daglig leder,2204541
924404442,Styre,4208040
980885526,Daglig leder,9543887
980885526,Styre,5338153
980885526,Styre,9543887
980885526,Styre,7913485
942962568,Daglig leder,9353987
942962568,Styre,9543887
942962568,Styre,4774208
942962568,Styre,2063903
942962568,Styre,5077565
942962568,Styre,1948141
942962568,Styre,3724115
942962568,Styre,3077650
819707782,Styre,4491505
819707782,Styre,1182366
939700463,Daglig leder,2775715
939700463,Styre,8231560
939700463,Styre,9628251
939700463,Styre,4895857
939700463,Styre,4633141
939700463,Styre,2775715
939700463,Styre,4094556
956685818,Daglig leder,2655328
956685818,Styre,8874497
956685818,Styre,1464432
956685818,Styre,1525461
956685818,Styre,4496261
956685818,Styre,1478008
956685818,Styre,7520676
956685818,Styre,8176577
956685818,Styre,1250993
956685818,Styre,6782567
926089161,Daglig leder,4669789
926089161,Styre,4669789
913875818,Daglig leder,9131791
913875818,Styre,9745831
913875818,Styre,9131791
913875818,Styre,6030222
943834164,Daglig leder,8847477
943834164,Styre,1060192
943834164,Styre,7288418
943834164,Styre,8847477
943834164,Styre,8357224
926970127,Kontaktperson,8077702
926970127,Styre,8077702
926970127,Styre,9115731
887493812,Daglig leder,1315035
887493812,Styre,3406594
887493812,Styre,4094070
887493812,Styre,9384715
887493812,Styre,2933696
887493812,Styre,2331047
887493812,Styre,3280909
887493812,Styre,4657512
887493812,Styre,7353787
916736002,Daglig leder,9895239
916736002,Styre,3903721
916736002,Styre,9895239
916736002,Styre,8580309
889253932,Daglig leder,5929171
889253932,Styre,5929171
889253932,Styre,9896684
930514225,Daglig leder,2542178
930514225,Styre,9189499
919341564,Daglig leder,1613531
919341564,Styre,5999113
919341564,Styre,1613531
919956070,Daglig leder,1062795
919956070,Styre,6821018
919956070,Styre,3151776
919956070,Styre,6334456
919956070,Styre,6979628
911599236,Daglig leder,5071662
911599236,Styre,5071662
911599236,Styre,8495080
920274188,Daglig leder,1970337
920274188,Styre,7521603
920274188,Styre,1970337
920274188,Styre,8099822
920274188,Styre,4053861
920274188,Styre,3216989
823488882,Daglig leder,3103826
823488882,Styre,7141076
823488882,Styre,2002037
823488882,Styre,3103826
823488882,Styre,7009783
920444970,Daglig leder,6006650
920444970,Styre,8730595
920444970,Styre,3348450
920444970,Styre,6006650
961802830,Daglig leder,1525902
961802830,Styre,2748999
961802830,Styre,5520669
961802830,Styre,6135384
961802830,Styre,6028376
961802830,Styre,8882342
961802830,Styre,5496304
976041720,Daglig leder,7692755
976041720,Styre,8272649
976041720,Styre,6609054
976041720,Styre,8180661
976041720,Styre,2818936
976041720,Styre,9949027
952473042,Daglig leder,6075610
952473042,Styre,6837014
952473042,Styre,4736272
952473042,Styre,7192243
952473042,Styre,6299438
952473042,Styre,8615968
952473042,Styre,9472320
952473042,Styre,5132723
965410872,Daglig leder,8518252
965410872,Styre,7237880
965410872,Styre,4362989
965410872,Styre,4468356
965410872,Styre,4544759
965410872,Styre,2367326
965410872,Styre,9211150
965410872,Styre,2969860
916598335,Daglig leder,7507751
916598335,Styre,7997418
916598335,Styre,7507751
920262864,Daglig leder,2984234
920262864,Styre,7967048
920262864,Styre,2984234
929155130,Daglig leder,8978515
929155130,Styre,1135889
929155130,Styre,6892996
929155130,Styre,5594051
929155130,Styre,4632727
929155130,Styre,8978515
888920412,Daglig leder,1237682
888920412,Styre,5504105
888920412,Styre,8686858
925252158,Daglig leder,1359223
925252158,Styre,1359223
925252158,Styre,2277244
980364801,Daglig leder,5753647
980364801,Styre,4556592
980364801,Styre,8115311
980364801,Styre,1410624
897191342,Daglig leder,7498692
897191342,Styre,4985397
897191342,Styre,4112868
938374740,Daglig leder,5606731
938374740,Styre,7789830
938374740,Styre,5606731
916594380,Daglig leder,2045522
916594380,Styre,2045522
926903144,Daglig leder,3133117
926903144,Styre,3133117
924373792,Daglig leder,6363972
924373792,Styre,8020679
924373792,Styre,6363972
937781075,Daglig leder,7731179
937781075,Styre,3923503
937781075,Styre,7731179
937781075,Styre,1419880
915521355,Daglig leder,2799184
915521355,Styre,7557840
915521355,Styre,2009516
919305541,Daglig leder,2611895
919305541,Styre,6007131
919305541,Styre,4051833
816708052,Daglig leder,6468583
816708052,Styre,6468583
816708052,Styre,1662505
816708052,Styre,1891251
816708052,Styre,9615317
932810069,Daglig leder,1315570
932810069,Styre,4333252
932810069,Styre,8956168
980890643,Daglig leder,2955438
980890643,Styre,6303967
980890643,Styre,7280392
980890643,Styre,3881774
922723052,Daglig leder,2935628
922723052,Styre,9474482
929085019,Daglig leder,4118980
929085019,Styre,5853889
929085019,Styre,2441031
929085019,Styre,6421837
947225871,Innehaver,1527898
947225871,Daglig leder,1527898
913296117,Daglig leder,3238268
913296117,Styre,3540913
913296117,Styre,5744105
913296117,Styre,7609735
913296117,Styre,6508289
913296117,Styre,4028887
913296117,Styre,2572014
913296117,Styre,2220521
913296117,Styre,7068012
913296117,Styre,4848462
913296117,Styre,3126959
913296117,Styre,1048367
913296117,Styre,2246227
924352256,Daglig leder,6973509
924352256,Styre,1995911
924352256,Styre,6247688
924352256,Styre,5187808
924352256,Styre,6973509
924352256,Styre,7405931
919319666,Styre,3367909
919319666,Styre,4671505
976176014,Daglig leder,5378574
976176014,Styre,2149722
976176014,Styre,7494567
916538804,Daglig leder,4373573
916538804,Styre,9084145
916538804,Styre,4373573
916538804,Styre,4976221
954852873,Daglig leder,3603446
954852873,Styre,5784061
954852873,Styre,5755710
954852873,Styre,4748295
954852873,Styre,2135045
954852873,Styre,2933764
954852873,Styre,9517957
954852873,Styre,2808372
954852873,Styre,7113707
951712035,Daglig leder,1892209
951712035,Styre,5941095
951712035,Styre,3300708
951712035,Styre,5055329
951712035,Styre,1892209
951712035,Styre,5521633
951712035,Styre,1005031
951712035,Styre,4477768
951712035,Styre,5095161
951712035,Styre,9836276
951712035,Styre,4956394
966833300,Daglig leder,7447765
966833300,Styre,4639585
966833300,Styre,5335099
966833300,Styre,9373744
966833300,Styre,9339604
966833300,Styre,7930392
966833300,Styre,4877718
966833300,Styre,9275680
966833300,Styre,1527720
966833300,Styre,1268806
966833300,Styre,3139839
966833300,Styre,6516208
966833300,Styre,9875881
966833300,Styre,7344100
966833300,Styre,9045820
966833300,Styre,5645772
966833300,Styre,2792116
966833300,Styre,1395631
953452626,Daglig leder,1569634
953452626,Styre,3144540
953452626,Styre,3904780
953452626,Styre,3132192
953452626,Styre,5887605
953452626,Styre,1387204
953452626,Styre,1468310
953452626,Styre,9917648
953452626,Styre,1169982
953452626,Styre,8324730
953452626,Styre,2144153
953452626,Styre,8331428
953452626,Styre,9695696
953452626,Styre,5513265
953452626,Styre,6282320
953452626,Styre,6581660
917275432,Styre,3351107
917275432,Styre,3255059
917275432,Styre,8358829
917275432,Styre,7172161
926884174,Daglig leder,4057929
926884174,Styre,4057929
926884174,Styre,3174898
926884174,Styre,1024323
926810200,Daglig leder,5581815
926810200,Styre,5581815
923079718,Daglig leder,5766782
923079718,Styre,6806237
923079718,Styre,2060527
929229592,Daglig leder,4599800
929229592,Styre,4599800
929229592,Styre,1641078
929229592,Styre,7387063
929229592,Styre,7860522
928318672,Daglig leder,5053119
928318672,Styre,5053119
928318672,Styre,9451579
965451129,Daglig leder,6544066
965451129,Styre,4086250
965451129,Styre,1853751
965451129,Styre,2454325
965451129,Styre,7889380
822266592,Daglig leder,3909042
822266592,Styre,3951750
822266592,Styre,3284952
822266592,Styre,7643439
822266592,Styre,8663601
822266592,Styre,3093490
927380692,Daglig leder,4693053
927380692,Styre,2167292
921109164,Daglig leder,1897329
921109164,Styre,1897329
921109164,Styre,8864505
921109164,Styre,4619114
921109164,Styre,2214848
824570272,Daglig leder,1897329
824570272,Styre,1897329
824570272,Styre,8864505
931075349,Daglig leder,1897329
931075349,Styre,1897329
931075349,Styre,8864505
924537647,Daglig leder,5152402
924537647,Styre,5152402
924537647,Styre,1277410
914141508,Daglig leder,8966413
914141508,Styre,5397959
914141508,Styre,8966413
914141508,Styre,6658057
915931987,Daglig leder,5151009
915931987,Styre,5151009
915931987,Styre,6973509
917221928,Daglig leder,6908943
917221928,Styre,6908943
921629559,Daglig leder,8302171
921629559,Styre,9704209
921629559,Styre,1645665
921629559,Styre,3903367
896861042,Daglig leder,9721179
896861042,Daglig leder,8091104
896861042,Styre,8763333
896861042,Styre,3681370
896861042,Styre,9721179
896861042,Styre,7515832
928450694,Kontaktperson,4501616
928450694,Styre,4501616
927239922,Daglig leder,9505637
927239922,Styre,5325181
927239922,Styre,4501616
927239922,Styre,5223987
927239922,Styre,9660057
930990132,Daglig leder,6412810
930990132,Styre,8066113
914367182,Daglig leder,9527819
914367182,Styre,9742055
914734908,Daglig leder,1473128
914734908,Styre,1473128
940325501,Daglig leder,4804942
940325501,Styre,3101292
940325501,Styre,3455803
940325501,Styre,9503252
940325501,Styre,7834310
940325501,Styre,7955443
940325501,Styre,1792369
940325501,Styre,5657051
940325501,Styre,5514881
915662323,Daglig leder,2501923
915662323,Styre,6693751
915662323,Styre,8527521
915662323,Styre,6649584
976103262,Daglig leder,3690684
976103262,Styre,4887933
976103262,Styre,7860522
976103262,Styre,3690684
871461422,Daglig leder,2512884
871461422,Styre,5581675
871461422,Styre,7724783
871461422,Styre,5670197
871461422,Styre,4765363
871461422,Styre,6326769
871461422,Styre,2388711
914858488,Daglig leder,3492756
914858488,Styre,3492756
914858488,Styre,3517030
914858488,Styre,4971476
914858488,Styre,8621328
971002042,Daglig leder,8856241
971002042,Styre,8856241
971002042,Styre,1256314
971002042,Styre,9912045
913905881,Daglig leder,9631926
913905881,Styre,7521094
913905881,Styre,5585084
913905881,Styre,9046300
920473210,Daglig leder,7051434
920473210,Styre,7051434
920473210,Styre,1783299
920473210,Styre,3686906
920473210,Styre,3853389
919194200,Daglig leder,3853389
919194200,Styre,7051434
919194200,Styre,1783299
919194200,Styre,3686906
952522035,Daglig leder,5849689
952522035,Styre,5798503
952522035,Styre,5849689
912630714,Daglig leder,5798503
912630714,Styre,5798503
912630714,Styre,3853935
963421680,Daglig leder,4543376
963421680,Styre,5202532
963421680,Styre,6862764
963421680,Styre,4543376
963421680,Styre,9139670
827810622,Daglig leder,8786430
827810622,Styre,8786430
927810638,Daglig leder,7444116
927810638,Styre,7444116
924407042,Daglig leder,6610408
924407042,Styre,6610408
915379486,Daglig leder,9301446
915379486,Styre,6264088
915379486,Styre,7167346
915379486,Styre,9301446
980430103,Daglig leder,3202325
980430103,Styre,9575529
980430103,Styre,9690807
980430103,Styre,4271953
980430103,Styre,5475880
980430103,Styre,2671940
980430103,Styre,4625229
980430103,Styre,3202325
960688546,Daglig leder,1073554
980423034,Daglig leder,4989717
980423034,Styre,9051568
980423034,Styre,4989717
980423034,Styre,5979061
980423034,Styre,7894818
980423034,Styre,5397623
980423034,Styre,8250934
980423034,Styre,9470564
980423034,Styre,6358825
871003882,Daglig leder,6033625
871003882,Styre,7663860
871003882,Styre,7107852
921985665,Daglig leder,8023001
921985665,Styre,6916724
911178664,Daglig leder,1431192
911178664,Styre,5058959
911178664,Styre,1530154
911178664,Styre,4716884
911178664,Styre,4707200
911178664,Styre,1503992
928589056,Daglig leder,7973427
928589056,Styre,1711184
928589056,Styre,7973427
928589056,Styre,7656728
980874680,Daglig leder,9728610
980874680,Styre,6913002
980874680,Styre,1803172
980874680,Styre,8902657
980874680,Styre,5583745
980874680,Styre,1611992
920882536,Kontaktperson,3522620
920882536,Styre,3522620
916895437,Daglig leder,5812538
916895437,Styre,7105305
916895437,Styre,1026205
912402355,Daglig leder,7105305
912402355,Styre,5513839
912402355,Styre,3553607
912402355,Styre,6539906
912402355,Styre,7105305
912402355,Styre,8920570
920292046,Daglig leder,8618702
920292046,Styre,4614798
920292046,Styre,7092820
920292046,Styre,3674423
920292046,Styre,4350542
920292046,Styre,3443059
920292046,Styre,6490263
920292046,Styre,6389547
920292046,Styre,1259124
931481150,Styre,4614798
968294237,Daglig leder,5011916
968294237,Styre,9614853
968294237,Styre,1834408
968294237,Styre,5011916
926624121,Daglig leder,3512733
926624121,Styre,3948091
926624121,Styre,3512733
926624121,Styre,2892286
926624121,Styre,6508322
914077117,Daglig leder,3292272
914077117,Styre,3292272
968454382,Kontaktperson,3969023
968454382,Styre,3969023
968454382,Styre,8023941
912442993,Daglig leder,2120463
912442993,Styre,7554905
912442993,Styre,6342675
912442993,Styre,7258458
912166546,Daglig leder,4207047
912166546,Styre,4207047
912166546,Styre,7358408
938354286,Daglig leder,1237584
938354286,Styre,1237584
938354286,Styre,3462186
938354286,Styre,7342161
938354286,Styre,1734380
929886488,Daglig leder,7062029
929886488,Styre,6291754
929886488,Styre,1456595
929886488,Styre,7062029
929886488,Styre,2664977
958427700,Daglig leder,4433172
958427700,Styre,5811957
958427700,Styre,8562868
958427700,Styre,7013590
958427700,Styre,4950756
958427700,Styre,3407380
958427700,Styre,1984749
958427700,Styre,6083790
958427700,Styre,3957539
958427700,Styre,8187581
925530174,Daglig leder,4894030
925530174,Styre,4733244
925530174,Styre,7154817
925530174,Styre,9859641
925530174,Styre,4894030
925530174,Styre,8628479
923532218,Styre,1479761
923532218,Styre,5948531
923532218,Styre,2976229
923532218,Styre,9181760
923532218,Styre,2112141
923532218,Styre,5944659
923532218,Styre,9993615
923532218,Styre,7138372
923532218,Styre,9687767
928268764,Styre,8396207
928268764,Styre,9276521
928268764,Styre,8803881
928268764,Styre,2434199
928268764,Styre,5870941
827102822,Daglig leder,9895405
827102822,Styre,6150726
827102822,Styre,9895405
932935074,Daglig leder,9519425
932935074,Styre,9082973
932935074,Styre,5160077
928633241,Daglig leder,5450952
928633241,Styre,5450952
924952393,Daglig leder,3249618
924952393,Styre,4208040
924952393,Styre,3249618
924952393,Styre,9083650
924952393,Styre,7182340
957382800,Daglig leder,9794300
957382800,Styre,6862524
957382800,Styre,1442026
957382800,Styre,9794300
957382800,Styre,8559531
957382800,Styre,9147101
957382800,Styre,6294422
957382800,Styre,2236262
979889402,Daglig leder,8129939
979889402,Styre,8129939
979889402,Styre,5039542
980937631,Daglig leder,9796128
980937631,Styre,6145764
980937631,Styre,6159375
980937631,Styre,8657076
980937631,Styre,9377565
974423774,Daglig leder,2865557
974423774,Styre,2865557
974423774,Styre,5159773
890391222,Daglig leder,9223517
890391222,Styre,9223517
924702079,Daglig leder,7330349
924702079,Styre,7330349
924702079,Styre,2299654
924303824,Daglig leder,7793629
924303824,Styre,7793629
946204315,Daglig leder,1918222
946204315,Styre,2532129
946204315,Styre,5337395
946204315,Styre,1918222
946204315,Styre,9850036
946204315,Styre,1158279
927034425,Daglig leder,2044733
927034425,Styre,1564505
927034425,Styre,1062819
927034425,Styre,5546558
927034425,Styre,2436491
929788354,Daglig leder,9338702
929788354,Styre,2406219
919212179,Daglig leder,9708235
919212179,Styre,1062137
919212179,Styre,9708235
919212179,Styre,2814802
927452448,Daglig leder,1062137
