organisasjonsnummer,navn,organisasjonsform,registreringsdatoEnhetsregisteret,antallAnsatte,forretningsadresse,stiftelsesdato,vedtektsdato,vedtektsfestetFormaal,aktivitet,links,sisteInnsendteAarsregnskap,kommune,overordnetEnhet
915965091,ADVOKATFIRMAET TORSTRUP AS,Aksjeselskap,2015-09-23,12,"Niels Juels gate 50, 4008 STAVANGER",2015-09-02,2018-12-12,Å drive med advokatvirksomhet.,Å drive med advokatvirksomhet.,[],2022,STAVANGER,nan
927408236,AFTENSKOLEN,Stiftelse,2021-07-29,16,"Tastatunet 1, 4027 STAVANGER",2021-06-10,2021-06-10,"Aftenskolen i Agder og Rogaland skal fremme livslang læring ved å, legge til rette for organiserte læringsaktiviteter ved siden av det, formelle utdanningssystemet i Agder og Rogaland. Aftenskolen i Agder, og Rogaland skal bidra til motivasjon og tilgang til kunnskap og, kompetanse for alle, og slik fremme den enkeltes utvikling og møte, behovene i samfunns- og arbeidslivet.","Kursvirksomhet, voksenopplæring og videregående opplæring.",[],2022,STAVANGER,nan
926048309,AGRO TRANSPORT AS,Aksjeselskap,2020-11-27,29,"Gamle Forusveien 50, 4031 STAVANGER",2020-11-02,2021-06-11,"Yte livdyrtransport, annen transport, samt andre tjenester som står i, naturlig forbindelse med dette.",Transport virksomhet og det som tilhører.,[],2022,STAVANGER,nan
885556922,AIR FORUS AS,Aksjeselskap,2003-04-07,44,"Lagerveien 2, 4033 STAVANGER",2003-03-20,2023-01-23,"Tilrettelegge for unike reiser og aktive, liv med individet som utgangspunkt, gjennom å tilby, en møteplass for aktive og bevisste valg. Spennende teknologibruk og, et inkluderende miljø.",Drift av aktivitetssenter. Kurs og opplæring. Hosting av eventer.,[],2022,STAVANGER,nan
979918984,AIRSWIFT NORGE AS,Aksjeselskap,1998-07-08,50,"Forusparken 2, 4031 STAVANGER",1998-06-02,2021-11-02,"Rekrutteringsarbeid og vikarløsninger, samt annen servicebistand, innenfor administrasjon og salgsvirksomhet og hva dermed står i, forbindelse.","Rekrutteringsarbeid og vikarløsninger, samt annen servicebistand, innenfor administrasjon og salgsvirksomhet.",[],2022,STAVANGER,nan
887504822,AKADEMIET SANDNES AS,Aksjeselskap,2004-11-26,31,"Langgata 1, 4306 SANDNES",2004-11-12,2017-11-10,"Selskapets virksomhet er: Drift av friskole på videregående nivå innen, yrkesfaglig og allmennfaglig studieretning. Skolen skal drives etter, friskoleloven og er en ikkekommersiell virksomhet.","Drift av privatskole og kursvirksomhet. Privat videregående skole samt, fagskolekurs innen IT og økonomifag.",[],2022,SANDNES,nan
969044854,AKTIVE FORELDRE SA,Samvirkeforetak,1995-02-20,44,"Gamle Somavei 26, 4313 SANDNES",1987-09-12,2012-04-26,"Eie og drive Aktiv barnehage til det beste for medlemmene og deres, barn.","Barnehage, heltid.",[],2022,SANDNES,nan
828413902,ALCORI AS,Aksjeselskap,2021-12-20,50,"Jærveien 18, 4319 SANDNES",2021-12-01,2022-06-30,"Annen installasjonsarbeid. Selskapet utfører elektrisk, installasjonsarbeid, mekanisk installasjonsarbeid innen industri og, samferdsel.","Elektrisk installasjonsarbeid, mekanisk installasjonsarbeid innen, industri og samferdsel.",[],2022,SANDNES,nan
946295566,Alf I. Larsen A/S,Aksjeselskap,1995-02-19,45,"Vestre Svanholmen 17, 4313 SANDNES",1988-01-11,2013-04-30,"Tjenesteyting, import, eksport og hva dermed står i forbindelse,, herunder deltakelse i andre virksomheter.","Handel, import og eksport samt deltakelse i andre, selskaper med lignende virksomhet.",[],2022,SANDNES,nan
925769371,ALFA DEKK AS,Aksjeselskap,2020-10-09,22,"Fosseikeveien 12, 4323 SANDNES",2020-09-12,2020-12-01,"Salg av dekk og felg samt hva som står naturlig i forbindelse med, slike tjenester, herunder å delta i andre selskap med lignende, virksomhet, og kjøp og salg av aksjer på en eller annen måte gjøre seg, interessert i andre foretak.",Salg av dekk og felg.,[],2022,SANDNES,nan
914750210,ALL10 AS,Aksjeselskap,2015-01-06,203,"Auglendsmyrå 8, 4016 STAVANGER",2014-12-12,2022-06-23,"Utleie av arbeidskraft, konsulenttjenester og rekruttering, samt, virksomhet som naturlig hører sammen med dette.","Utleie av arbeidskraft, rekruttering og konsulenttjenester.",[],2022,STAVANGER,nan
980126684,ALLRENT AS,Aksjeselskap,1998-09-23,41,"Stokkaveien 37, 4024 STAVANGER",1998-09-01,2015-12-18,"Vask/rens og handel av tilhørende produkter samt hva dermed står i, forbindelse, herunder deltakelse i andre foretak, kjøp/salg, verdipapirer og kjøp/salg av fast eiendom.","Salg av tjenester innen vask og rens, samt salg av tilhørende, produkter.",[],2022,STAVANGER,nan
918260315,ALLSERVICE AS,Aksjeselskap,1995-02-19,39,"Auglendsdalen 77, 4017 STAVANGER",1972-06-13,2021-06-22,"Gjennom næringsvirksomhet å skape grunnlag for tilbakeføring av, mennesker i utkanten av arbeidslivet. Formålet med virksomheten er, avklaring og kvalifisering med sikte på formidling til ordinært, arbeidsliv eller utdanning. Bedriften gir også tilbud om varig, sysselsetting for personer som ikke er aktuelle for åpent, arbeidsmarked, eller for andre sysselsettingstiltak.","Gjennom næringsvirksomhet å skape grunnlag for tilbakeføring av, mennesker i utkanten av arbeidslivet. Formålet med virksomheten er, avklaring og kvalifisering med sikte på formidling til ordinært, arbeidsliv eller utdanning. Bedriften gir også tilbud om varig, sysselsetting for personer som ikke er aktuelle for åpent, arbeidsmarked, eller for andre sysselsettingstiltak.",[],2022,STAVANGER,nan
888846832,ALLTON CARBON AND MINERALS AS,Aksjeselskap,2005-11-08,16,"Koppholen 20, 4313 SANDNES",2005-10-19,2022-10-13,"Utvikling og utnyttelse av elektromagnetisk teknologi innenfor, karbonfangst og -lagring samt utvikling og utnyttelse av, elektromagnetisk teknologi innenfor kartlegging av mineralforekomster.","Utvikling og utnyttelse av elektromagnetisk teknologi innenfor, karbonfangst og -lagring samt utvikling og utnyttelse av, elektromagnetisk teknologi innenfor kartlegging av mineralforekomster.",[],2022,SANDNES,nan
885396062,ALPHA BEGRAVELSESBYRÅ AS,Aksjeselskap,2003-02-15,13,"Madlakrossen 2, 4042 HAFRSFJORD",2003-01-10,2020-02-20,"Kjøp og salg av alle varer og tjenester vedrørende begravelser og, bisettelser, deltakelse i tilsvarende selskaper og hva herved står i, forbindelse.",Alle tjenester vedrørende begravelser og kremasjon.,[],2022,STAVANGER,nan
811593362,ALTERA INFRASTRUCTURE CREWING AS,Aksjeselskap,2013-02-20,48,"Badehusgata 37, 4014 STAVANGER",2013-02-03,2021-12-17,"Skipsfart, drift av skip og økonomisk virksomhet som står i, forbindelse med dette, herunder deltagelse i andre selskaper samt, investeringer i verdipapirer og andre  formuesverdier.",Offshore - lagervirksomhet - FSO.,[],2022,STAVANGER,nan
964111723,ALTERA INFRASTRUCTURE NORWAY AS,Aksjeselskap,1995-02-20,140,"Badehusgata 37, 4014 STAVANGER",1992-05-15,2020-05-20,Skipsfart og annen økonomisk virksomhet.,Skipsfart og annen økonomisk virksomhet.,[],2022,STAVANGER,nan
944271430,AMAZOON AS,Aksjeselskap,1995-02-19,21,"Steinkobbeveien 28A, 4083 HUNDVÅG",1987-07-01,2001-11-28,Handel med dyr og utstyr og hva dermed står i forbindelse.,Drive handel og hva dermed står i forbindelse.,[],2022,STAVANGER,nan
890592392,AMED NUDEM,Enkeltpersonforetak,2006-12-08,12,"Boganesgeilen 13A, 4032 STAVANGER",,,NaN,Drosje.,[],,STAVANGER,nan
929796004,AMEDIA SALG ROGALAND AS,Aksjeselskap,2022-09-08,19,"Langgata 10, 4306 SANDNES",2022-08-01,2022-10-20,"Salg og utvikling av reklame og annonseprodukter, samt å drive annen, medie- og informasjonsvirksomhet.","Salg og utvikling av reklame og annonseprodukter, samt å drive annen, medie- og informasjonsvirksomhet.",[],,SANDNES,nan
928228096,AMINA DISTRIBUTION AS,Aksjeselskap,2021-11-27,41,"FOMO Works, Grenseveien 21, 4313 SANDNES",2021-11-16,2022-09-29,"Distribusjon, logistikk, vareformidling, deltagelse i andre selskap, med lignende formål og annet som står i naturlig forbindelse med, dette.","Distribusjon av elektrisk utstyr til næring og husholdning, logistikk,, vareformidling, deltagelse i andre selskap med lignende formål og, annet som står i naturlig forbindelse med dette.",[],2022,SANDNES,nan
930108219,AMKA RESTAURANTS AS,Aksjeselskap,2022-10-27,900,"Auglendsmyrå 7, 4016 STAVANGER",2022-09-19,2022-12-23,Drift av restauranter og kafeer.,Drift av restauranter som ledd i McDonalds-franchise.,[],2022,STAVANGER,nan
915345662,AMUNDSEN SPESIAL KVADRAT AS,Aksjeselskap,2015-05-06,12,"Gamle Stokkavei 1, 4313 SANDNES",2015-04-28,2015-04-28,Butikkhandel knyttet til kolonial- og gaveprodukter.,Butikkhandel knyttet til kolonial- og gaveprodukter.,[],2022,SANDNES,nan
926838148,AN NAM AS,Aksjeselskap,2021-03-22,15,"Pedersgata 31, 4013 STAVANGER",2021-03-09,2021-03-09,Restaurantvirksomhet med take away/catering.,Restaurantvirksomhet med take away/catering.,[],2022,STAVANGER,nan
925777080,ANDERS STENSLAND AS,Aksjeselskap,2020-10-12,18,"REMA 1000 STORABERGET, Binnekroken 1, 4034 STAVANGER",2020-09-08,2020-09-08,"Selv, gjennom hel- eller deleide selskaper eller ved samarbeide med, andre virksomheter, å forestå drift av dagligvareforretning og annen, virksomhet beslektet med denne.",Butikkhandel med dagligvare.,[],2022,STAVANGER,nan
980538613,ANKO AS,Aksjeselskap,1999-02-25,104,"Luramyrveien 12, 4313 SANDNES",1999-01-15,2021-05-27,"Yte ingeniørtjenester innen bygg- og anleggssektoren, verft og, offshore, og alt som herved står i forbindelse, samt ved aksjetegning,, investering i datterselskaper eller på annen måte å delta i annen, virksomhet.","Ingeniørtjenester innen bygg- og anleggssektoren, og alt som hermed, står i forbindelse.",[],2022,SANDNES,nan
926398954,APPEAL FRISØR HANA AS,Aksjeselskap,2021-01-18,13,"Gravarsveien 53A, 4306 SANDNES",2020-10-20,2020-10-20,Frisørvirksomhet og hva herved står i forbindelse.,Frisørvirksomhet.,[],2022,SANDNES,nan
921983549,APPLICA NORWAY AS,Aksjeselskap,2019-01-24,22,"c/o Rott Regnskap og Rådgivning AS, Pedersgata 18, 4013 STAVANGER",2018-11-20,2018-11-20,"Å levere ingeniørtjenester og annen teknisk konsulentvirksomhet, direkte eller via deltakelse i andre foretak.","Å levere ingeniørtjenester og annen teknisk konsulentvirksomhet,, gjennom utleie av arbeidskraft.",[],2022,STAVANGER,nan
934361156,ARCHER AS,Aksjeselskap,1995-02-19,1536,"Sandnesveien 358, 4312 SANDNES",1986-05-12,2023-03-29,"Eie og drive oljeboringsrigger og borefartøyer samt konsulenttjenester, forbundet med dette, delta i undersøkelser etter og utvinning av olje, eller gass, delta i andre virksomheter forbundet med dette, og å, stille garantier og/eller stille sine eiendeler som sikkerhet for, tredjemanns gjeld. Selskapets formål omfatter dessuten skipsfart og, deltakelse i virksomheter forbundet hermed.","Å eie og drive oljeboringsrigger og borefartøyer, samt konsulenttjenester forbundet med dette, delta, i undersøkelser etter og utvinning av olje eller, gass, delta i andre virksomheter forbundet med, dette, og å stille garantier og/eller stille sine, eiendeler som sikkerhet for tredjemanns gjeld., Selskapets formål omfatter dessuten skipsfart og, deltakelse i virksomhet forbundet hermed.",[],2022,SANDNES,nan
912421163,ARCHER CONSULTING AS,Aksjeselskap,2013-09-16,51,"Sandnesveien 358, 4312 SANDNES",2013-08-26,2020-06-30,"Drive med konsulenttjenester forbundet oljeservice, delta i, undersøkelser etter og utvinning av olje eller gass, delta i andre, virksomheter forbundet med dette, og å stillegarantier og/eller stille, sine eiendeler som sikkerhet for tredjemanns gjeld. Selskapets formål, omfatter dessuten skipsfart og deltakelse i virksomhet forbundet, hermed.","Bemanningsselskap som driver med utleie av personell/konsulenter med, spisskompetanse innen oljeservice. Selskapet vil i hovedsak leie ut, ingeniører men også andre faggrupper med spisskompetanse vil være, aktuelle for utleie både i Norge og i utlandet.",[],2022,SANDNES,nan
968145843,ARCHER OILTOOLS AS,Aksjeselskap,1995-02-20,189,"Sandnesveien 358, 4312 SANDNES",1993-10-15,2020-03-18,"Omfatte produksjon og salg av tjenester til olje- og gassindustrien, samt det som står i forbindelse med dette herunder deltagelse i andre, virksomheter ved egenkapitalinnskudd, lån eller garantistillelse.","Verdiskapning gjennom utvikling, fremstilling,, kjøp, salg og utleie av utstyr til petroleums-, virksomheten, samt hva hermed står i forbindelse,, herunder å yte konsulenttjenester, agenturvirksom-, het, samt å delta i andre selskaper med lignende, virksomhet.",[],2022,SANDNES,nan
926768123,ARDOR & COMPANY AS,Aksjeselskap,2021-03-10,15,"St. Svithuns gate 12, 4008 STAVANGER",2021-02-16,2021-06-10,Tilby et konsept/studio for styling og konsultasjon for image.,Tilby et konsept/studio for styling og konsultasjon for image.,[],2022,STAVANGER,nan
918316760,ARENA MC AS,Aksjeselskap,2017-01-04,16,"Somaveien 1, 4313 SANDNES",2016-12-14,2020-12-31,"Forhandlervirksomhet tilknyttet motorsykler samt hva hermed står i, forbindelse, herunder å delta i andre selskaper med lignende, virksomhet.",Forhandlervirksomhet tilknyttet motorsykler.,[],2022,SANDNES,nan
979221215,ARENA TRENINGSSENTER AS,Aksjeselskap,1997-09-17,49,"Jåttåvågveien 7, 4020 STAVANGER",1997-08-01,2022-05-20,"Drive helsestudio/aerobic, samt hva hermed står i forbindelse,, herunder å delta i andre selskaper med lignende virksomhet.","Helsestudio, aerobic og salg av varer.",[],2022,STAVANGER,nan
932295040,ARKIPARTNER AS,Aksjeselskap,1995-02-19,10,"Jens Zetlitz' gate 38, 4008 STAVANGER",1982-01-15,2010-10-19,"Arkitektvirksomhet av enhver art samt hva, hermed står i forbindelse, herunder å delta, i andre selskaper med lignende virksomhet.","Arkitektvirksomhet av enhver art samt hva, hermed står i forbindelse, herunder å delta, i andre selskaper med lignende virksomhet.",[],2022,STAVANGER,nan
878666372,ARKITEKTFIRMA HELEN & HARD AS,Aksjeselskap,1997-07-02,30,"Erfjordgata 8, 4014 STAVANGER",1997-01-01,2015-10-15,"Arkitektvirksomhet, samt hva hermed står i, forbindelse, herunder å delta i andre selskaper, med lignende virksomhet.",Arkitektvirksomhet.,[],2022,STAVANGER,nan
948232464,ARKITEKTKONTORET VEST AS,Aksjeselskap,1995-02-19,15,"Langgata 3, 4306 SANDNES",1988-09-02,2009-08-31,"Å utføre, administrere og koordinere arkitektar-, beider og evt. andre arbeidsoppgaver, samt hva, hermed står i forbindelse.","Å utføre, administrere og koordinere arkitektar-, beider og evt. andre arbeidsoppgaver, samt hva, hermed står i forbindelse.",[],2022,SANDNES,nan
915728669,AROY THAI AS,Aksjeselskap,2015-07-31,15,"Langgaten 25, 4307 SANDNES",2015-07-04,2015-07-04,"Restaurantdrift takeaway asiatisk mat og annet som naturlig faller, sammen med dette.",Restaurant og takeaway asiatisk mat.,[],2022,SANDNES,nan
968455265,ARRIBATEC EA & BPM AS,Aksjeselskap,1995-02-20,59,"Grenseveien 21, 4313 SANDNES",1994-01-01,2021-10-28,"Selge dataløsninger innen styring, ledelse,, administrasjon samt for programutvikling,, tilhørende konsulenttjenester og alt som hermed, er forbundet, samt å delta i andre selskaper, med tilsvarende eller kompletterende formål.","Selge dataløsninger innen styring, ledelse,, administrasjon samt for programutvikling,, tilhørende konsulenttjenester og alt som hermed, er forbundet, samt å delta i andre selskaper, med tilsvarende eller kompletterende formål.",[],2022,SANDNES,nan
927733293,ARVE SELE KRISTENSEN AS,Aksjeselskap,2021-09-15,16,"c/o REMA 1000 HÅBAFJELL, Håbafjellveien 4, 4325 SANDNES",2021-08-23,2021-08-23,"Selv, gjennom hel- eller deleide selskaper eller ved samarbeide med, andre virksomheter, å forestå drift av dagligvareforretning og annen, virksomhet beslektet med denne.",Butikkhandel med dagligvarer.,[],2022,SANDNES,nan
828855832,AS BETONG,Aksjeselskap,2022-03-02,87,"Dreierveien 25, 4321 SANDNES",2022-02-18,2022-07-27,"Utførelse av betong-og murerarbeid, samt investering i aksjer og fast, eiendom.","Utførelse av betong-og murerarbeid, samt investering i aksjer og fast, eiendom.",[],2022,SANDNES,nan
915074294,AS HOME AGAIN,Aksjeselskap,2015-03-06,17,"Nygata 1, 4006 STAVANGER",2015-02-26,2015-02-26,"Utleie av fast eiendom, kjøp og salg av fast eiendom og ellers hva som, heri står i forbindelse.",Utleie av fast eiendom,[],2022,STAVANGER,nan
914754445,AS IRISHMAN,Aksjeselskap,2015-01-06,16,"Høleberggata 9, 4006 STAVANGER",2014-12-11,2014-12-11,"Restaurantdrift, uteservering og ellers hva som heri står i, forbindelse.",Restaurantdrift og uteservering.,[],2022,STAVANGER,nan
922686408,ASCENIUM AS,Aksjeselskap,2019-04-29,12,"Kirkegata 3, 4006 STAVANGER",2019-04-02,2022-12-16,"Programmering og databehandling samt gjøre investeringer i lignende, virksomheter.","Programmering og databehandling samt gjøre investeringer i lignende, virksomheter.",[],2022,STAVANGER,nan
912716880,ASKNFOYN AS,Aksjeselskap,2013-11-11,12,"Gustava Kiellands gate 12, 4020 STAVANGER",2013-09-10,2019-02-22,Utvikling og salg av klær og tekstiler.,Utvikling og salg av klær og tekstiler.,[],2022,STAVANGER,nan
917483914,ASLE FRANTZEN AS,Aksjeselskap,2016-08-15,29,"c/o REMA 1000 MOSVANNET, Tjensvollveien 1, 4021 STAVANGER",2016-06-15,2016-06-15,"Selv, gjennom del-eller deleide selskaper eller ved samarbeide med, andre virksomheter, å forestå drift av dagligvareforretning og annen, virksomhet beslektet med denne.",Butikkhandel med dagligvarer.,[],2022,STAVANGER,nan
927385155,ASPERVIK MAT AS,Aksjeselskap,2021-07-06,14,"Rema 1000 Aspervik, Åsveien 159, 4328 SANDNES",2021-06-07,2021-06-07,"Selv, gjennom hel- eller deleide selskaper eller ved samarbeide med, andre virksomheter, å forestå drift av dagligvareforretning og annen, virksomhet beslektet med denne.",Butikkhandel med dagligvare.,[],2022,SANDNES,nan
970370048,ASTRID SLETTEN,Enkeltpersonforetak,1995-02-20,12,"Haakon VIIs gate 7, 4005 STAVANGER",,,NaN,Butikkhandel med bakervarer og konditorvarer,[],,STAVANGER,nan
961449189,ATTENDE AS,Aksjeselskap,1995-02-20,84,"Forusskogen 9, 4031 STAVANGER",1991-07-09,2013-01-17,"Som arbeidsmarkedsbedrift skal selskapet stimulere til utvikling, gjennom produksjon og tjenester som er verdiskapende for den enkelte, og for samfunnet. Selskapets virkemidler er: produktutvikling,, tilrettelagt arbeid, tjenesteytende arbeid, salgsvirksomhet, annen, egnet næringsvirksomhet, tilstrebing av selvstendighet, medbestemmelse, og ansvar for alle ansatte.","Utvikle og tilrettelegge varierte arbeidsplasser, for mennesker med en yrkeshemning for på den, måten å stimulere den enkeltes utviklings-, muligheter.",[],2022,STAVANGER,nan
930029203,"AUGLENDSDALEN, FRELSESARMEENS BARNEHAGE I STAVANGER AS",Aksjeselskap,2022-11-07,34,"Auglendsdalen 62, 4017 STAVANGER",2022-09-05,2022-11-07,"Utvikle, eie og drifte barnehage i Auglendsdalen 62, Stavanger. Drift, skal være i samsvar med Frelsesarmeens generelle målsettinger om, barnehagedrift. Selskapet har ikke erverv til formål.","Utvikle, eie og drift av barnehage.",[],,STAVANGER,nan
914271533,AUGUSTUM AS,Aksjeselskap,2014-10-08,29,"Bergelandsgata 16, 4012 STAVANGER",2014-09-24,2019-02-08,"Å forvalte egen og annen eiendom for utleie,, samt salg av eiendom i utlandet - og annet som naturlig faller sammen, med dette, herunder å delta i andre selskaper med lignende virksomhet,, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i, andre foretagender.","Å forvalte egen og annen eiendom for utleie,, samt salg av eiendom i utlandet - og annet som naturlig faller sammen, med dette, herunder å delta i andre selskaper med lignende virksomhet,, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i, andre foretagender.",[],2022,STAVANGER,nan
970310436,AUSTRÅTT IDRETTSLAG,Forening/lag/innretning,1995-02-20,17,"Iglemyrveien 3, 4325 SANDNES",1977-08-01,,NaN,Idrettslag.,[],,SANDNES,nan
979693729,AUSTVOLL TRE & DESIGN AS,Aksjeselskap,1998-03-17,11,"Heigreveien 148, 4312 SANDNES",1998-03-13,2014-12-24,"Foredling og handel av trevarer, samt hva hermed står i forbindelse,, herunder deltakelse i andre foretak med virksomhet.",Treforedling og handel med slike varer.,[],2022,SANDNES,nan
919213566,AUTO 2000 AS,Aksjeselskap,1995-02-19,26,"Myklabergveien 3B, 4314 SANDNES",1980-07-29,1994-02-02,"Handel, agentur, bilutleie, mellommannsvirksomhet, og verksteddrift, samt hva hermed står i, forbindelse, herunder å delta i andre selskaper, med lignende virksomhet.","Handel, agentur, bilutleie, mellommannsvirksomhet, og verksteddrift, samt hva hermed står i, forbindelse, herunder å delta i andre selskaper, med lignende virksomhet.",[],2022,SANDNES,nan
916836775,AUTO CENTER ROGALAND AS,Aksjeselskap,2016-03-03,12,"Sjøveien 4, 4315 SANDNES",2016-02-25,2016-02-25,"Kjøp, salg og utleie av lette kjøretøy, verkstedtjenester samt alt hva, hermed står i forbindelse, herunder deltakelse i selskap med lignende, virksomhet.","Kjøp, salg og utleie av lette kjøretøy, verkstedtjenester samt alt hva, hermed står i forbindelse, herunder deltakelse i selskap med lignende, virksomhet.",[],2022,SANDNES,nan
977189985,AUTOLAKK Ernst Roald Lutsi,Enkeltpersonforetak,1997-01-29,11,"Kvål, 4323 SANDNES",,,NaN,Lakkeringsverksted.,[],,SANDNES,nan
961433371,AUTOMASJON OG DATA AS,Aksjeselskap,1995-02-20,20,"Vassbotnen 23, 4033 STAVANGER",1991-06-20,2018-06-06,"Utvikling og salg av elektronikk og programvare,, kurs og andre tjenester, samt å delta i andre, foretak med økonomisk formål.","Utvikling og salg av elektronikk og programvare,, kurs og andre tjenester, samt å delta i andre, foretak med økonomisk formål.",[],2022,STAVANGER,nan
921389434,AUTOSENTER SANDNES AS,Aksjeselskap,2018-09-24,10,"Flådene 3, 4332 FIGGJO",2018-08-23,2020-11-10,"Kjøp og salg av bil, samt virksomhet som står i forbindelse med dette.","Kjøp og salg av bil, samt virksomhet som står i forbindelse med dette.",[],2022,SANDNES,nan
971338504,AVLØYSARLAGET NORD-JÆREN SA,Samvirkeforetak,1995-02-20,437,"Hoveveien 46, 4306 SANDNES",1995-02-20,2011-03-29,"Skaffe avløsning slik at medlemmene får regelmessig fritid, avlastning, i onnetider og avløsning under sykdom m.m. Laget kan også, administrere/koordinere andre former for samarbeidstiltak som, maskinarbeid, håndverksarbeid, vedformidling, skogsarbeid,, bygdeservice mv, som kan være med å forbedre medlemmenes, drifsresultat, arbeidssituasjon og velferd. Det kan også være naturlig, å yte andre tjenester som styrker landbruket eller være utviklenede, for nærmiljøet.","Formidling og opplæring av arbeidskraft til primærnæringen. Laget, fører lønningsregnskapet og påtar seg diverse kotortjenester for, medlemmene.",[],2022,SANDNES,nan
913285026,B & G WELDING CONTRACTING AS,Aksjeselskap,2014-02-25,12,"Håvasteinbakken 13, 4150 RENNESØY",2014-01-29,2016-02-22,"Bemanningsselskap, samt hva som naturlig hører til under dette.","Bemanningsselskap, samt hva som naturlig hører til under dette.",[],2022,STAVANGER,nan
